0,1,2,3,4,5
infinitive,מורא האָבן (moyre hobn),,,,
present participle,מורא האָבנדיק (moyre hobndik),,,,
past participle,מורא געהאַט (moyre gehat),,,,
auxiliary,האָבן (hobn),,,,
,present,,past,,
present,איך האָב מורא (ikh hob moyre),מיר האָבן מורא (mir hobn moyre),past,איך האָב מורא געהאַט (ikh hob moyre gehat),מיר האָבן מורא געהאַט (mir hobn moyre gehat)
דו האָסט מורא (du host moyre),איר האָט מורא (ir hot moyre),דו האָסט מורא געהאַט (du host moyre gehat),איר האָט מורא געהאַט (ir hot moyre gehat),,
ער האָט מורא (er hot moyre),זיי האָבן מורא (zey hobn moyre),ער האָט מורא געהאַט (er hot moyre gehat),זיי האָבן מורא געהאַט (zey hobn moyre gehat),,
,,,,,
imperative,האָב מורא (דו) (hob moyre (du)),האָט מורא (איר) (hot moyre (ir)),,,
