0,1,2,3
period of day,,,
Previous:,yö,,
Next:,päivä,,
period of day,,,
Previous:,aamuyö,,
Next:,aamupäivä,,
"Inflection of aamu (Kotus type 1/valo, no gradation)",,,
nominative,aamu,aamut,
genitive,aamun,aamujen,
partitive,aamua,aamuja,
illative,aamuun,aamuihin,
,singular,plural,
nominative,aamu,aamut,
accusative,nom.,aamu,aamut
gen.,aamun,,
genitive,aamun,aamujen,
partitive,aamua,aamuja,
inessive,aamussa,aamuissa,
elative,aamusta,aamuista,
illative,aamuun,aamuihin,
adessive,aamulla,aamuilla,
ablative,aamulta,aamuilta,
allative,aamulle,aamuille,
essive,aamuna,aamuina,
translative,aamuksi,aamuiksi,
instructive,—,aamuin,
abessive,aamutta,aamuitta,
comitative,—,aamuineen,
aamiainen  aamuinen  aamuisin,,aamullinen  aamusella,
aamuaskare  aamuateria  aamuerektio  aamuhartaus  aamuhetki  aamuhämärä  aamuihminen  aamujumalanpalvelus  aamujuna  aamukahdeksan  aamukahvi  aamukampa  aamukaste  aamukirkko  aamukylmä  aamulehti  aamulenkki  aamulepakko  aamulypsy  aamulähetys  aamulämpö  aamunavaus  aamunkajo  aamunkoi  aamunkoite  aamunkoitto  aamunraikas  aamunsarastus  aamuntorkku  aamunvirkku  aamupahoinvointi  aamupala  aamupesu  aamupuku,,aamupuoli  aamupäivä  aamurukous  aamuruoka  aamurusko  aamuruuhka  aamusumu  aamutakki  aamutohveli  aamutossu  aamutuima  aamutähti  aamu-uninen  aamu-uutiset  aamuvarhain  aamuvartio  aamuvirkku  aamuvoimistelu  aamuvuoro  aamuyö  eilisaamu  huomenaamu  huomisaamu  jouluaamu  kesäaamu  kevätaamu  krapula-aamu  lauantaiaamu  pakkasaamu  pyhäaamu  pääsiäisaamu  sunnuntaiaamu  syysaamu  varhaisaamu,
