0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Declension of college (irregular)  singular  plural  nominative  /ˈko̞lidsi/ or /ˈko̞lids/  /ˈko̞lidsit̪/  genitive  /ˈko̞lidsin/  /ˈko̞lidsie̞n/  partitive  /ˈko̞lidsiɑ/  /ˈko̞lidse̞jɑ/  accusative  /ˈko̞lidsi/ or /ˈko̞lids//ˈko̞lidsin/  /ˈko̞lidsit̪/  inessive  /ˈko̞lidsisːɑ/  /ˈko̞lidse̞isːɑ/  elative  /ˈko̞lidsistɑ/  /ˈko̞lidse̞istɑ/  illative  /ˈko̞lidsiːn/  /ˈko̞lidse̞iɦin/  adessive  /ˈko̞lidsilːɑ/  /ˈko̞lidse̞ilːɑ/  ablative  /ˈko̞lidsiltɑ/  /ˈko̞lidse̞ilt̪ɑ/  allative  /ˈko̞lidsilːe̞/  /ˈko̞lidse̞ilːe̞/  essive  /ˈko̞lidsinɑ/  /ˈko̞lidse̞inɑ/  translative  /ˈko̞lidsiksi/  /ˈko̞lidse̞iksi/  instructive  –  /ˈko̞lidse̞in/  abessive  /ˈko̞lidsit̪ːɑ/  /ˈko̞lidse̞it̪ːɑ/  comitative  –  /ˈko̞lidse̞ine̞ːn/,,singular,plural,nominative,/ˈko̞lidsi/ or /ˈko̞lids/,/ˈko̞lidsit̪/,genitive,/ˈko̞lidsin/,/ˈko̞lidsie̞n/,partitive,/ˈko̞lidsiɑ/,/ˈko̞lidse̞jɑ/,accusative,/ˈko̞lidsi/ or /ˈko̞lids//ˈko̞lidsin/,/ˈko̞lidsit̪/,inessive,/ˈko̞lidsisːɑ/,/ˈko̞lidse̞isːɑ/,elative,/ˈko̞lidsistɑ/,/ˈko̞lidse̞istɑ/,illative,/ˈko̞lidsiːn/,/ˈko̞lidse̞iɦin/,adessive,/ˈko̞lidsilːɑ/,/ˈko̞lidse̞ilːɑ/,ablative,/ˈko̞lidsiltɑ/,/ˈko̞lidse̞ilt̪ɑ/,allative,/ˈko̞lidsilːe̞/,/ˈko̞lidse̞ilːe̞/,essive,/ˈko̞lidsinɑ/,/ˈko̞lidse̞inɑ/,translative,/ˈko̞lidsiksi/,/ˈko̞lidse̞iksi/,instructive,–,/ˈko̞lidse̞in/,abessive,/ˈko̞lidsit̪ːɑ/,/ˈko̞lidse̞it̪ːɑ/,comitative,–,/ˈko̞lidse̞ine̞ːn/
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,/ˈko̞lidsi/ or /ˈko̞lids/,/ˈko̞lidsit̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,/ˈko̞lidsin/,/ˈko̞lidsie̞n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,/ˈko̞lidsiɑ/,/ˈko̞lidse̞jɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,/ˈko̞lidsi/ or /ˈko̞lids//ˈko̞lidsin/,/ˈko̞lidsit̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,/ˈko̞lidsisːɑ/,/ˈko̞lidse̞isːɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,/ˈko̞lidsistɑ/,/ˈko̞lidse̞istɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,/ˈko̞lidsiːn/,/ˈko̞lidse̞iɦin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,/ˈko̞lidsilːɑ/,/ˈko̞lidse̞ilːɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,/ˈko̞lidsiltɑ/,/ˈko̞lidse̞ilt̪ɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,/ˈko̞lidsilːe̞/,/ˈko̞lidse̞ilːe̞/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,/ˈko̞lidsinɑ/,/ˈko̞lidse̞inɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,/ˈko̞lidsiksi/,/ˈko̞lidse̞iksi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,/ˈko̞lidse̞in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,/ˈko̞lidsit̪ːɑ/,/ˈko̞lidse̞it̪ːɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,–,/ˈko̞lidse̞ine̞ːn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,/ˈko̞lidsi/ or /ˈko̞lids/,/ˈko̞lidsit̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,/ˈko̞lidsin/,/ˈko̞lidsie̞n/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,/ˈko̞lidsiɑ/,/ˈko̞lidse̞jɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,/ˈko̞lidsi/ or /ˈko̞lids//ˈko̞lidsin/,/ˈko̞lidsit̪/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,/ˈko̞lidsisːɑ/,/ˈko̞lidse̞isːɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,/ˈko̞lidsistɑ/,/ˈko̞lidse̞istɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,/ˈko̞lidsiːn/,/ˈko̞lidse̞iɦin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,/ˈko̞lidsilːɑ/,/ˈko̞lidse̞ilːɑ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
