0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
"Inflection of suorakulma (Kotus type 10/koira, no gradation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,suorakulma,suorakulmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,suorakulman,suorakulmien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,suorakulmaa,suorakulmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,suorakulmaan,suorakulmiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,suorakulma,suorakulmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,nom.,suorakulma,suorakulmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen.,suorakulman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,suorakulman,suorakulmiensuorakulmainrare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,suorakulmaa,suorakulmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,suorakulmassa,suorakulmissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,suorakulmasta,suorakulmista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,suorakulmaan,suorakulmiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,suorakulmalla,suorakulmilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,suorakulmalta,suorakulmilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,suorakulmalle,suorakulmille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,suorakulmana,suorakulmina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,suorakulmaksi,suorakulmiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,—,suorakulmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,suorakulmatta,suorakulmitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,—,suorakulmineen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declension of suorakulma (type nuoripari)  singular  plural  nominative  suorakulma  suoratkulmat  genitive  suorankulman  suorienkulmiensuorainkulmain1  partitive  suoraakulmaa  suoriakulmia  accusative  suorakulmasuorankulman  suoratkulmat  inessive  suorassakulmassa  suorissakulmissa  elative  suorastakulmasta  suoristakulmista  illative  suoraankulmaan  suoriinkulmiin  adessive  suorallakulmalla  suorillakulmilla  ablative  suoraltakulmalta  suoriltakulmilta  allative  suorallekulmalle  suorillekulmille  essive  suoranakulmana  suorinakulmina  translative  suoraksikulmaksi  suoriksikulmiksi  instructive  –  suorinkulmin  abessive  suorattakulmatta  suorittakulmitta  comitative  –  suorinekulmineen  1) Rare.,,singular,plural,nominative,suorakulma,suoratkulmat,genitive,suorankulman,suorienkulmiensuorainkulmain1,partitive,suoraakulmaa,suoriakulmia,accusative,suorakulmasuorankulman,suoratkulmat,inessive,suorassakulmassa,suorissakulmissa,elative,suorastakulmasta,suoristakulmista,illative,suoraankulmaan,suoriinkulmiin,adessive,suorallakulmalla,suorillakulmilla,ablative,suoraltakulmalta,suoriltakulmilta,allative,suorallekulmalle,suorillekulmille,essive,suoranakulmana,suorinakulmina,translative,suoraksikulmaksi,suoriksikulmiksi,instructive,–,suorinkulmin,abessive,suorattakulmatta,suorittakulmitta,comitative,–,suorinekulmineen,1) Rare.
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,suorakulma,suoratkulmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,suorankulman,suorienkulmiensuorainkulmain1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,suoraakulmaa,suoriakulmia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,suorakulmasuorankulman,suoratkulmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
