0,1,2,3,4,5,6
Audio,,(file),,,,
Tense,Person,m,f,n,m pers pl,other plural
Past,1st,powinienem,powinnam,—,powinniśmy,powinnyśmy
2nd,powinieneś,powinnaś,—,powinniście,powinnyście,
3rd,powinien,powinna,powinno,powinni,powinny,
Impersonal,powinno się,,,,,
Pluperfect,1st,powinienem był,powinnam była,—,powinniśmy byli,powinnyśmy były
2nd,powinieneś był,powinnaś była,—,powinniście byli,powinnyście były,
3rd,powinien był,powinna była,powinno było,powinni byli,powinny były,
Impersonal,powinno było się,,,,,
