0,1,2,3,4,5
,singular,plural,,,
nominative,skoczek,skoczki,,,
genitive,skoczka,skoczków,,,
dative,skoczkowi,skoczkom,,,
accusative,skoczka,skoczki,,,
instrumental,skoczkiem,skoczkami,,,
locative,skoczku,skoczkach,,,
vocative,skoczku,skoczki,,,
,singular,plural,,,
nominative,skoczek,skoczkowie,,,
genitive,skoczka,skoczków,,,
dative,skoczkowi,skoczkom,,,
accusative,skoczka,skoczków,,,
instrumental,skoczkiem,skoczkami,,,
locative,skoczku,skoczkach,,,
vocative,skoczku,skoczkowie,,,
Chess pieces in Polish · bierki szachowe (layout · text),,,,,
,,,,,
król,"hetman, królowa, dama",wieża,"goniec, laufer","skoczek, koń, konik","pion, pionek"
