0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Audio,,(file),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Es,Previous: kaliforn (Cf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Next: ferm (Fm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1,#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declension of einstein  singular  nominative  einstein  genitive  einsteinu  dative  einsteinowi  accusative  einstein  instrumental  einsteinem  locative  einsteinie  vocative  einsteinie,,singular,nominative,einstein,genitive,einsteinu,dative,einsteinowi,accusative,einstein,instrumental,einsteinem,locative,einsteinie,vocative,einsteinie,declension of einstein  singular  plural  nominative  einstein  einsteiny  genitive  einsteina  einsteinów  dative  einsteinowi  einsteinom  accusative  einstein  einsteiny  instrumental  einsteinem  einsteinami  locative  einsteinie  einsteinach  vocative  einsteinie  einsteiny,,singular,plural,nominative,einstein,einsteiny,genitive,einsteina,einsteinów,dative,einsteinowi,einsteinom,accusative,einstein,einsteiny,instrumental,einsteinem,einsteinami,locative,einsteinie,einsteinach,vocative,einsteinie,einsteiny
,singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,einsteinu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,einsteinowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,einsteinem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,einsteinie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,einsteinie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,einstein,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,einsteina,einsteinów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,einsteinowi,einsteinom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,einstein,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,einsteinem,einsteinami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,einsteinie,einsteinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,einsteinie,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,einsteinu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,einsteinowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,einsteinem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,einsteinie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,einsteinie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,einstein,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,einsteina,einsteinów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,einsteinowi,einsteinom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,einstein,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumental,einsteinem,einsteinami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locative,einsteinie,einsteinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,einsteinie,einsteiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
