0,1,2,3,4,5,6
Audio (Classical),,(file),,,,
Case,Singular,Plural,,,,
nominative,rēgīna,rēgīnae,,,,
genitive,rēgīnae,rēgīnārum,,,,
dative,rēgīnae,rēgīnīs,,,,
accusative,rēgīnam,rēgīnās,,,,
ablative,rēgīnā,rēgīnīs,,,,
vocative,rēgīna,rēgīnae,,,,
rēgālēs  rēgālia  rēgālis  rēgāliter  regibilis  rēgificē,,rēgificus  regifugium  rēgillus  regimen  regimentum,,rēgia  rēgius  regnātor  regnātrix  regnicola,,regnō  rēgnum  regō  regulus  rēx
Asturian: reina  Basque: erregina  Catalan: reina  Esperanto: reĝino  French: reine  Friulian: reìne  Galician: raíña  Italian: regina  Neapolitan: riggina  Novial: rega  Occitan: reina,,"Old Portuguese: reỹa, raỹa  Portuguese: rainha  Romanian: regină  Romansch: regina, rigegna, raïna  Sardinian: reina, arreina  Sicilian: riggina  Spanish: reina  Venetian: rexina  Walloon: royinne",,,,
"Chess pieces in Latin · latrunculi, milites scaccorum (layout · text)",,,,,,
,,,,,,
rex,regina,turris,episcopus,eques,pedes,
