0,1
Case,Plural
nominative,Larēs
genitive,Larum
dative,Laribus
accusative,Larēs
ablative,Laribus
vocative,Larēs
Case,Plural
nominative,Larēs
genitive,Larium
dative,Laribus
accusative,Larēs
ablative,Laribus
vocative,Larēs
