0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,کېږم (keģëm),کېږې (keģe),کېږي (keģi),کېږو (keģu),کېږﺉ (keģëy),کېږي (keģi),,
,,,,,,,,
present perfective,شم (šëm),شې (še),شي (ši),شو (šu),شﺉ (šëy),شي (ši),,
,,,,,,,,
past imperfective,کېدلم (kedëlëm),کېدلې (kedële),کېدۀ (kedë),کېدله (kedëla),کېدلو (kedëlu),کېدلﺉ (kedëlëy),کېدل / کېدلۀ (kedël / kedëlë),کېدلې (kedële)
,,,,,,,,
past perfective,شولم (šwëlëm),شولې (šwële),شوۀ (šwë),شوله (šwëla),شولو (šwëlu),شولﺉ (šwëlëy),شولۀ / شول (šwël /šwëlë),شولې (šwële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,کېږم (keģëm),کېږې (keģe),کېږي (keģi),کېږو (keģu),کېږﺉ (keģëy),کېږي (keģi),,
,,,,,,,,
present perfective,شم (šëm),شې (še),شي (ši),شو (šu),شﺉ (šëy),شي (ši),,
,,,,,,,,
past imperfective,کېدم (kedëm),کېدې (kede),کېدۀ (kedë),کېده (keda),کېدو (kedu),کېدﺉ (kedëy),کېدل / کېدلۀ (kedël / kedëlë),کېدې (kede)
,,,,,,,,
past perfective,شوم (šwëm),شوې (šwële),شوۀ (šwë),شوه (šwa),شوو (šwu),شوﺉ (šwëy),شولۀ / شول (šwël /šwëlë),شوې (šwe)
