0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,كوم (kawëm),كوې (kawe),كوي (kawi),كوو (kawu),كوﺉ (kawëy),كوي (kawi),,
,,,,,,,,
present perfective,كړم (këm),كړې (ke),كړي (ki),كړو (ku),كړﺉ (këy),كړي (ki),,
,,,,,,,,
past imperfective,كولم (kawëlëm),كولې (kawële),كاوۀ (kâwë),كوله (kawëla),كولو (kawëlu),كولﺉ (kawëlëy),كول / كولۀ (kawëlë / kawël),كولې (kawële)
,,,,,,,,
past perfective,كړم / كړلم (kṙëlëm / kṙëm),كړې / كړلې (kṙële / kṙe),كړ (kë / kṙ),كړه / كړله (kṙëla / kṙa),كړو / كړلو (kṙëlu / kṙu),كړﺉ / كړلﺉ (kṙëlëy / kṙëy),كړلۀ / كړل (kṙël / kṙëlë),كړلې (kṙële)
,تۀ,,تاسو,,,,,
Postive,,,,,,,,
وکړه (wë ka),وکړئ (wë kai),,,,,,,
Negative,,,,,,,,
مه کوه (më këwa),مه کوئ (më këwai),,,,,,,
