0,1,2,3,4,5,6,7,8,9,10
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,مومم (mumëm),مومې (mume),مومي (mumi),مومو (mumu),مومﺉ (mumëy),مومي (mumi),,,,
,,,,,,,,,,
present perfective,ومومم (wë mumëm),ومومې (wë mume),ومومي (wë mumi),ومومو (wë mumu),ومومﺉ (wë mumëy),ومومي (wë mumi),,,,
,,,,,,,,,,
past imperfective,موندلم (mundëlëm),موندلې (mundële),موندۀ (mundë),موندله (mundëla),موندلو (mundëlu),موندلﺉ (mundëlëy),موندل / موندلۀ (mundël / mundëlë),موندلې (mundële),,
,,,,,,,,,,
past perfective,وموندلم (wë mundëlëm),وموندلې (wë mundële),وموندۀ (wë mundë),وموندله (wë mundëla),وموندلو (wë mundëlu),وموندلﺉ (wë mundëlëy),وموندلۀ / وموندل (wë mundël / wëmundëlë),وموندلې (wë mundële),,
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,مومم (mumëm),مومې (mume),مومي (mumi),مومو (mumu),مومﺉ (mumëy),مومي (mumi),,,,
,,,,,,,,,,
present perfective,ومومم (wë mumëm),ومومې (wë mume),ومومي (wë mumi),ومومو (wë mumu),ومومﺉ (wë mumëy),ومومي (wë mumi),,,,
,,,,,,,,,,
past imperfective,موندم (mundëm),موندې (munde),موندۀ (mundë),مونده (munda),موندو (mundu),موندﺉ (mundëy),موندل / موندلۀ (mundël / mundëlë),موندې (munde),,
,,,,,,,,,,
past perfective,وموندم (wë mundëm),وموندې (wë munde),وموندۀ (wë mundë),ومونده (wë munda),وموندو (wë mundu),وموندﺉ (wë mundëy),وموندلۀ / وموندل (wë mundël / wëmundëlë),وموندې (wë munde),,
,تۀ,,تاسو,,,,,,,
Postive,,,,,,,,,,
ومومه (wë muma),ومومئ (wë mumai),,,,,,,,,
Negative,,,,,,,,,,
مه مومه (më muma),مه مومئ (më mumai),,,,,,,,,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,موندلی يم (mundëlay yëm),موندلې يم (mundële yëm/yëma),موندلی يې (mundëlay ye),موندلې يې (mundële ye),موندلی دی (mundëlay day),موندلې ده (mundële da),موندلي يو (mundëli yu),موندلي يئ/ياست (mundëli yai/yâst),موندلي دي (mundëli di),
,,,,,,,,,,
past perfect,موندلی وم (mundëlay wëm),موندلې وم/ومه (mundële wëm/wëma),موندلی وې (mundëlay we),موندلې وې (mundële we),موندلی و (mundëlay wë),موندلې وه (mundële wa),موندلي وو (mundëli wu),موندلي وئ (mundëli wai),موندلي وو\ول (mundëli wu/wël),موندلې وې (mundële we)
,,,,,,,,,,
future perfect,به موندلی يم (bë mundëlay yëm),به موندلې يم (bë mundële yëm/yëma),به موندلی يې (bë mundëlay ye),به موندلې يې bë (mundële ye),به موندلی دی (bë mundëlay day),به موندلې ده (bë mundële da),به موندلي يو (bë mundëli yu),به موندلي يئ/ياست (bë mundëli yai/yâst),به موندلي دي (bë mundëli di),
