0,1,2,3,4,5,6,7,8,9,10
Audio,,(file),,,,,,,,
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,ګرځېږم (gërźeģëm),ګرځېږې (gërźeģe),ګرځېږي (gërźeģi),ګرځېږو (gërźeģu),ګرځېږﺉ (gërźeģëy),ګرځېږي (gërźeģi),,,,
,,,,,,,,,,
present perfective,وګرځېږم (wë gërźeģëm),وګرځېږې (wë gërźeģe),وګرځېږي (wë gërźeģi),وګرځېږو (wë gërźeģu),وګرځېږﺉ (wë gërźeģëy),وګرځېږي (wë gërźeģi),,,,
,,,,,,,,,,
past imperfective,ګرځېدلم (gërźedëlëm),ګرځېدلې (gërźedële),ګرځېدۀ (gërźedë),ګرځېدله (gërźedëla),ګرځېدلو (gërźedëlu),ګرځېدلﺉ (gërźedëlëy),ګرځېدل / ګرځېدلۀ (gërźedël / gërźedëlë),ګرځېدلې (gërźedële),,
,,,,,,,,,,
past perfective,وګرځېدلم (wë gërźedëlëm),وګرځېدلې (wë gërźedële),وګرځېدۀ (wë gërźedë),وګرځېدله (wë gërźedëla),وګرځېدلو (wë gërźedëlu),وګرځېدلﺉ (wë gërźedëlëy),وګرځېدلۀ / وګرځېدل (wë gërźedël / wë gërźedëlë),وګرځ ېدلې (wë gërźedële),,
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,ګرځېږم (gërźeģëm),ګرځېږې (gërźeģe),ګرځېږي (gërźeģi),ګرځېږو (gërźeģu),ګرځېږﺉ (gërźeģëy),ګرځېږي (gërźeģi),,,,
,,,,,,,,,,
present perfective,وګرځېږم (wë gërźeģëm),وګرځېږې (wë gërźeģe),وګرځېږي (wë gërźeģi),وګرځېږو (wë gërźeģu),وګرځېږﺉ (wë gërźeģëy),وګرځېږي (wë gërźeģi),,,,
,,,,,,,,,,
past imperfective,ګرځېدم (gërźedëm),ګرځېدې (gërźede),ګرځېدۀ (gërźedë),ګرځېده (gërźeda),ګرځېدو (gërźedu),ګرځېدﺉ (gërźedëy),ګرځېدل / ګرځېدلۀ (gërźedël / gërźedëlë),ګرځېدې (gërźede),,
,,,,,,,,,,
past perfective,وګرځېدم (wë gërźedëm),وګرځېدې (wë gërźede),وګرځېدۀ (wë gërźedë),وګرځېده (wë gërźeda),وګرځېدو (wë gërźedu),وګرځېدﺉ (wë gërźedëy),وګرځېدلۀ / وګرځېدل (wë gërźedël / wë gërźedëlë),وګرځېدې (wë gërźede),,
,تۀ,,تاسو,,,,,,,
Postive,,,,,,,,,,
وګرځېږه (wë gërźeģa),وګرځېږئ (wë gërźeģai),,,,,,,,,
Negative,,,,,,,,,,
مه ګرځه (më gërźa),مه ګرځئ (më gërźai),,,,,,,,,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,ګرځېدلی يم (gërźdëlay yëm),ګرځېدلې يم (gërźdële yëm/yëma),ګرځېدلی يې (gërźdëlay ye),ګرځېدلې يې (gërźdële ye),ګرځېدلی دی (gërźdëlay day),ګرځېدلې ده (gërźdële da),ګرځېدلي يو (gërźdëli yu),ګرځېدلي يئ/ياست (gërźdëli yai/yâst),ګرځېدلي دي (gërźdëli di),
,,,,,,,,,,
past perfect,ګرځېدلی وم (gërźdëlay wëm),ګرځېدلې وم/ومه (gërźdële wëm/wëma),ګرځېدلی وې (gërźdëlay we),ګرځېدلې وې (gërźdële we),ګرځېدلی و (gërźdëlay wë),ګرځېدلې وه (gërźdële wa),ګرځېدلي وو (gërźdëli wu),ګرځېدلي وئ (gërźdëli wai),ګرځېدلي وو\ول (gërźdëli wu/wël),ګرځېدلې وې (gërźdële we)
,,,,,,,,,,
future perfect,به ګرځېدلی يم (bë gërźdëlay yëm),به ګرځېدلې يم (bë gërźdële yëm/yëma),به ګرځېدلی يې (bë gërźdëlay ye),به ګرځېدلې يې bë (gërźdële ye),به ګرځېدلی دی (bë gërźdëlay day),به ګرځېدلې ده (bë gërźdële da),به ګرځېدلي يو (bë gërźdëli yu),به ګرځېدلي يئ/ياست (bë gërźdëli yai/yâst),به ګرځېدلي دي (bë gërźdëli di),
