0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Audio,,(file),,,,,,
Kunduz Audio,,(file),,,,,,
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,زېږېږم (zeǵeģëm),زېږېږې (zeǵeģe),زېږېږي (zeǵeģi),زېږېږو (zeǵeģu),زېږېږﺉ (zeǵeģëy),زېږېږي (zeǵeģi),,
,,,,,,,,
present perfective,وزېږېږم (wë zeǵeģëm),وزېږېږې (wë zeǵeģe),وزېږېږي (wë zeǵeģi),وزېږېږو (wë zeǵeģu),وزېږېږﺉ (wë zeǵeģëy),وزېږېږي (wë zeǵeģi),,
,,,,,,,,
past imperfective,زېږېدلم (zeǵedëlëm),زېږېدلې (zeǵedële),زېږېدۀ (zeǵedë),زېږېدله (zeǵedëla),زېږېدلو (zeǵedëlu),زېږېدلﺉ (zeǵedëlëy),زېږېدل / زېږېدلۀ (zeǵedël / zeǵedëlë),زېږېدلې (zeǵedële)
,,,,,,,,
past perfective,وزېږېدلم (wë zeǵedëlëm),وزېږېدلې (wë zeǵedële),وزېږېدۀ (wë zeǵedë),وزېږېدله (wë zeǵedëla),وزېږېدلو (wë zeǵedëlu),وزېږېدلﺉ (wë zeǵedëlëy),وزېږېدلۀ / وزېږېدل (wë zeǵedël / wë zeǵedëlë),وزېږ ېدلې (wë zeǵedële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,زېږېږم (zeǵeģëm),زېږېږې (zeǵeģe),زېږېږي (zeǵeģi),زېږېږو (zeǵeģu),زېږېږﺉ (zeǵeģëy),زېږېږي (zeǵeģi),,
,,,,,,,,
present perfective,وزېږېږم (wë zeǵeģëm),وزېږېږې (wë zeǵeģe),وزېږېږي (wë zeǵeģi),وزېږېږو (wë zeǵeģu),وزېږېږﺉ (wë zeǵeģëy),وزېږېږي (wë zeǵeģi),,
,,,,,,,,
past imperfective,زېږېدم (zeǵedëm),زېږېدې (zeǵede),زېږېدۀ (zeǵedë),زېږېده (zeǵeda),زېږېدو (zeǵedu),زېږېدﺉ (zeǵedëy),زېږېدل / زېږېدلۀ (zeǵedël / zeǵedëlë),زېږېدې (zeǵede)
,,,,,,,,
past perfective,وزېږېدم (wë zeǵedëm),وزېږېدې (wë zeǵede),وزېږېدۀ (wë zeǵedë),وزېږېده (wë zeǵeda),وزېږېدو (wë zeǵedu),وزېږېدﺉ (wë zeǵedëy),وزېږېدلۀ / وزېږېدل (wë zeǵedël / wë zeǵedëlë),وزېږېدې (wë zeǵede)
