0,1,2,3,4,5,6,7,8,9,10
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,پلورم (plorëm),پلورې (plore),پلوري (plori),پلورو (ploru),پلورﺉ (plorëy),پلوري (plori),,,,
,,,,,,,,,,
present perfective,وپلورم (wëplorëm),وپلورې (wëplore),وپلوري (wëplori),وپلورو (wëploru),وپلورﺉ (wëplorëy),وپلوري (wëplori),,,,
,,,,,,,,,,
past imperfective,پلورلم (plorëlëm),پلورلې (plorële),پلورۀ (plorë),پلورله (plorëla),پلورلو (plorëlu),پلورلﺉ (plorëlëy),پلورل / پلورلۀ (plorël / plorëlë),پلورلې (plorële),,
,,,,,,,,,,
past perfective,وپلورلم (wëplorëlëm),وپلورلې (wëplorële),وپلورۀ (wëplorë),وپلورله (wëplorëla),وپلورلو (wëplorëlu),وپلورلﺉ (wëplorëlëy),وپلورلۀ / وپلورل (wëplorël / wëplorëlë),وپلورلې (wëplorële),,
,تۀ,,تاسو,,,,,,,
Postive,,,,,,,,,,
وپلوره (wë plora),وپلورئ (wë plorai),,,,,,,,,
Negative,,,,,,,,,,
مه پلوره (më plora),مه پلورئ (më plorai),,,,,,,,,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,پلورلی يم (plorëlay yëm),پلورلې يم (plorële yëm/yëma),پلورلی يې (plorëlay ye),پلورلې يې (plorële ye),پلورلی دی (plorëlay day),پلورلې ده (plorële da),پلورلي يو (plorëli yu),پلورلي يئ/ياست (plorëli yai/yâst),پلورلي دي (plorëli di),
,,,,,,,,,,
past perfect,پلورلی وم (plorëlay wëm),پلورلې وم/ومه (plorële wëm/wëma),پلورلی وې (plorëlay we),پلورلې وې (plorële we),پلورلی و (plorëlay wë),پلورلې وه (plorële wa),پلورلي وو (plorëli wu),پلورلي وئ (plorëli wai),پلورلي وو\ول (plorëli wu/wël),پلورلې وې (plorële we)
,,,,,,,,,,
future perfect,به پلورلی يم (bë plorëlay yëm),به پلورلې يم (bë plorële yëm/yëma),به پلورلی يې (bë plorëlay ye),به پلورلې يې bë (plorële ye),به پلورلی دی (bë plorëlay day),به پلورلې ده (bë plorële da),به پلورلي يو (bë plorëli yu),به پلورلي يئ/ياست (bë plorëli yai/yâst),به پلورلي دي (bë plorëli di),
