0,1,2,3,4,5,6,7,8,9,10
Audio,,(file),,,,,,,,
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,ښکنځم (ẍkënźëm),ښکنځې (ẍkënźe),ښکنځي (ẍkënźi),ښکنځو (ẍkënźu),ښکنځﺉ (ẍkënźëy),ښکنځي (ẍkënźi),,,,
,,,,,,,,,,
present perfective,وښکنځم (wëẍkënźëm),وښکنځې (wëẍkënźe),وښکنځي (wëẍkënźi),وښکنځو (wëẍkënźu),وښکنځﺉ (wëẍkënźëy),وښکنځي (wëẍkënźi),,,,
,,,,,,,,,,
past imperfective,ښکنځلم (ẍkënźëlëm),ښکنځلې (ẍkënźële),ښکنځۀ (ẍkënźë),ښکنځله (ẍkënźëla),ښکنځلو (ẍkënźëlu),ښکنځلﺉ (ẍkënźëlëy),ښکنځل / ښکنځلۀ (ẍkënźël / ẍkënźëlë),ښکنځلې (ẍkënźële),,
,,,,,,,,,,
past perfective,وښکنځلم (wëẍkënźëlëm),وښکنځلې (wëẍkënźële),وښکنځۀ (wëẍkënźë),وښکنځله (wëẍkënźëla),وښکنځلو (wëẍkënźëlu),وښکنځلﺉ (wëẍkënźëlëy),وښکنځلۀ / وښکنځل (wëẍkënźël / wëẍkënźëlë),وښکنځلې (wëẍkënźële),,
,تۀ,,تاسو,,,,,,,
Postive,,,,,,,,,,
وښکنځه (wë ẍkënźa),وښکنځئ (wë ẍkënźai),,,,,,,,,
Negative,,,,,,,,,,
مه ښکنځه (më ẍkënźa),مه ښکنځئ (më ẍkënźai),,,,,,,,,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,ښکنځلی يم (ẍkënźëlay yëm),ښکنځلې يم (ẍkënźële yëm/yëma),ښکنځلی يې (ẍkënźëlay ye),ښکنځلې يې (ẍkënźële ye),ښکنځلی دی (ẍkënźëlay day),ښکنځلې ده (ẍkënźële da),ښکنځلي يو (ẍkënźëli yu),ښکنځلي يئ/ياست (ẍkënźëli yai/yâst),ښکنځلي دي (ẍkënźëli di),
,,,,,,,,,,
past perfect,ښکنځلی وم (ẍkënźëlay wëm),ښکنځلې وم/ومه (ẍkënźële wëm/wëma),ښکنځلی وې (ẍkënźëlay we),ښکنځلې وې (ẍkënźële we),ښکنځلی و (ẍkënźëlay wë),ښکنځلې وه (ẍkënźële wa),ښکنځلي وو (ẍkënźëli wu),ښکنځلي وئ (ẍkënźëli wai),ښکنځلي وو\ول (ẍkënźëli wu/wël),ښکنځلې وې (ẍkënźële we)
,,,,,,,,,,
future perfect,به ښکنځلی يم (bë ẍkënźëlay yëm),به ښکنځلې يم (bë ẍkënźële yëm/yëma),به ښکنځلی يې (bë ẍkënźëlay ye),به ښکنځلې يې bë (ẍkënźële ye),به ښکنځلی دی (bë ẍkënźëlay day),به ښکنځلې ده (bë ẍkënźële da),به ښکنځلي يو (bë ẍkënźëli yu),به ښکنځلي يئ/ياست (bë ẍkënźëli yai/yâst),به ښکنځلي دي (bë ẍkënźëli di),
