0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,ژباړم (zhbâṛëm),ژباړې (zhbâṛe),ژباړي (zhbâṛi),ژباړو (zhbâṛu),ژباړﺉ (zhbâṛëy),ژباړي (zhbâṛi),,
,,,,,,,,
present perfective,وژباړم (wëzhbâṛëm),وژباړې (wëzhbâṛe),وژباړي (wëzhbâṛi),وژباړو (wëzhbâṛu),وژباړﺉ (wëzhbâṛëy),وژباړي (wëzhbâṛi),,
,,,,,,,,
past imperfective,ژباړلم (zhbâṛëlëm),ژباړلې (zhbâṛële),ژباړۀ (zhbâṛë),ژباړله (zhbâṛëla),ژباړلو (zhbâṛëlu),ژباړلﺉ (zhbâṛëlëy),ژباړل / ژباړلۀ (zhbâṛël / zhbâṛëlë),ژباړلې (zhbâṛële)
,,,,,,,,
past perfective,وژباړلم (wëzhbâṛëlëm),وژباړلې (wëzhbâṛële),وژباړۀ (wëzhbâṛë),وژباړله (wëzhbâṛëla),وژباړلو (wëzhbâṛëlu),وژباړلﺉ (wëzhbâṛëlëy),وژباړلۀ / وژباړل (wëzhbâṛël / wëzhbâṛëlë),وژباړلې (wëzhbâṛële)
