0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,پای ته رسېږم (pâi të rëseģëm),پای ته رسېږې (pâi të rëseģe),پای ته رسېږي (pâi të rëseģi),پای ته رسېږو (pâi të rëseģu),پای ته رسېږﺉ (pâi të rëseģëy),پای ته رسېږي (pâi të rëseģi),,
,,,,,,,,
present perfective,پای ته ورسېږم (pâi të wë rëseģëm),پای ته ورسېږې (pâi të wë rëseģe),پای ته ورسېږي (pâi të wë rëseģi),پای ته ورسېږو (pâi të wë rëseģu),پای ته ورسېږﺉ (pâi të wë rëseģëy),پای ته ورسېږي (pâi të wë rëseģi),,
,,,,,,,,
past imperfective,پای ته رسېدلم (pâi të rësedëlëm),پای ته رسېدلې (pâi të rësedële),پای ته رسېدۀ (pâi të rësedë),پای ته رسېدله (pâi të rësedëla),پای ته رسېدلو (pâi të rësedëlu),رسېدلﺉ (pâi të rësedëlëy),رسېدل / رسېدلۀ (pâi të rësedël / rësedëlë),رسېدلې (pâi të rësedële)
,,,,,,,,
past perfective,پای ته ورسېدلم (pâi të wë rësedëlëm),پای ته ورسېدلې (pâi të wë rësedële),پای ته ورسېدۀ (pâi të wë pâi tëedë),پای ته ورسېدله (pâi të wë rësedëla),پای ته ورسېدلو (pâi të wë rësedëlu),پای ته ورسېدلﺉ (pâi të wë rësedëlëy),پای ته ورسېدلۀ/ ورسېدل (pâi të wë rësedël / wë rësedëlë),پای ته ورس ېدلې (pâi të wë rësedële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,پای ته رسېږم (pâi të rëseģëm),پای ته رسېږې (pâi të rëseģe),پای ته رسېږي (pâi të rëseģi),پای ته رسېږو (pâi të rëseģu),پای ته رسېږﺉ (pâi të rëseģëy),پای ته رسېږي (pâi të rëseģi),,
,,,,,,,,
present perfective,پای ته ورسېږم (pâi të wë rëseģëm),پای ته ورسېږې (pâi të wë rëseģe),پای ته ورسېږي (pâi të wë rëseģi),پای ته ورسېږو (pâi të wë rëseģu),پای ته ورسېږﺉ (pâi të wë rëseģëy),پای ته ورسېږي (pâi të wë rëseģi),,
,,,,,,,,
past imperfective,پای ته رسېدم (pâi të rësedëm),پای ته رسېدې (pâi të rësede),پای ته رسېدۀ (pâi të rësedë),پای ته رسېده (pâi të rëseda),پای ته رسېدو (pâi të rësedu),پای ته رسېدﺉ (pâi të rësedëy),پای ته رسېدل / رسېدلۀ (pâi të rësedël / rësedëlë),پای ته رسېدې (pâi të rësede)
,,,,,,,,
past perfective,پای ته ورسېدم (pâi të wë rësedëm),پای ته ورسېدې (pâi të wë rësede),پای ته ورسېدۀ (pâi të wë rësedë),پای ته ورسېده (pâi të wë rëseda),پای ته ورسېدو (pâi të wë rësedu),پای ته ورسېدﺉ (pâi të wë rësedëy),پای ته ورسېدلۀ / ورسېدل (pâi të wë rësedël / wë rësedëlë),پای ته ورسېدې (pâi të wë rësede)
