0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,ګټم (gêṭëm),ګټې (gêṭe),ګټي (gêṭi),ګټو (gêṭu),ګټﺉ (gêṭëy),ګټي (gêṭi),,
,,,,,,,,
present perfective,وګټم (wëgêṭëm),وګټې (wëgêṭe),وګټي (wëgêṭi),وګټو (wëgêṭu),وګټﺉ (wëgêṭëy),وګټي (wëgêṭi),,
,,,,,,,,
past imperfective,ګټلم (gêṭëlëm),ګټلې (gêṭële),ګټۀ (gêṭë),ګټله (gêṭëla),ګټلو (gêṭëlu),ګټلﺉ (gêṭëlëy),ګټل / ګټلۀ (gêṭël / gêṭëlë),ګټلې (gêṭële)
,,,,,,,,
past perfective,وګټلم (wëgêṭëlëm),وګټلې (wëgêṭële),وګټۀ (wëgêṭë),وګټله (wëgêṭëla),وګټلو (wëgêṭëlu),وګټلﺉ (wëgêṭëlëy),وګټلۀ / وګټل (wëgêṭël / wëgêṭëlë),وګټلې (wëgêṭële)
