0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,ګڼم (gaṇëm),ګڼې (gaṇe),ګڼي (gaṇi),ګڼو (gaṇu),ګڼﺉ (gaṇëy),ګڼي (gaṇi),,
,,,,,,,,
present perfective,وګڼم (wëgaṇëm),وګڼې (wëgaṇe),وګڼي (wëgaṇi),وګڼو (wëgaṇu),وګڼﺉ (wëgaṇëy),وګڼي (wëgaṇi),,
,,,,,,,,
past imperfective,ګڼلم (gaṇëlëm),ګڼلې (gaṇële),ګڼۀ (gaṇë),ګڼله (gaṇëla),ګڼلو (gaṇëlu),ګڼلﺉ (gaṇëlëy),ګڼل / ګڼلۀ (gaṇël / gaṇëlë),ګڼلې (gaṇële)
,,,,,,,,
past perfective,وګڼلم (wëgaṇëlëm),وګڼلې (wëgaṇële),وګڼۀ (wëgaṇë),وګڼله (wëgaṇëla),وګڼلو (wëgaṇëlu),وګڼلﺉ (wëgaṇëlëy),وګڼلۀ / وګڼل (wëgaṇël / wëgaṇëlë),وګڼلې (wëgaṇële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,وګڼم (wë gëṇëm),وګڼې (wë gëṇe),وګڼي (wë gëṇi),وګڼو (wë gëṇu),وګڼﺉ (wë gëṇëy),وګڼي (wë gëṇi),,
,,,,,,,,
present perfective,ووګڼم (wëwë gëṇëm),ووګڼې (wëwë gëṇe),ووګڼي (wëwë gëṇi),ووګڼو (wëwë gëṇu),ووګڼﺉ (wëwë gëṇëy),ووګڼي (wëwë gëṇi),,
,,,,,,,,
past imperfective,وګڼلم (wë gëṇëlëm),وګڼلې (wë gëṇële),ګڼۀ (gaṇë),وګڼله (wë gëṇëla),وګڼلو (wë gëṇëlu),وګڼلﺉ (wë gëṇëlëy),وګڼل / وګڼلۀ (wë gëṇël / wë gëṇëlë),وګڼلې (wë gëṇële)
,,,,,,,,
past perfective,ووګڼلم (wëwë gëṇëlëm),ووګڼلې (wëwë gëṇële),وګڼۀ (wëgaṇë),ووګڼله (wëwë gëṇëla),ووګڼلو (wëwë gëṇëlu),ووګڼلﺉ (wëwë gëṇëlëy),ووګڼلۀ / ووګڼل (wëwë gëṇël / wëwë gëṇëlë),ووګڼلې (wëwë gëṇële)
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,ګڼلم (gaṇëlëm),ګڼلې (gaṇële),ګڼلي (gaṇëli),ګڼلو (gaṇëlu),ګڼلﺉ (gaṇëlëy),ګڼلي (gaṇëli),,
,,,,,,,,
present perfective,وګڼلم (wëgaṇëlëm),وګڼلې (wëgaṇële),وګڼلي (wëgaṇëli),وګڼلو (wëgaṇëlu),وګڼلﺉ (wëgaṇëlëy),وګڼلي (wëgaṇëli),,
,,,,,,,,
past imperfective,ګڼللم (gaṇëlëlëm),ګڼللې (gaṇëlële),ګڼلۀ (gaṇëlë),ګڼلله (gaṇëlëla),ګڼللو (gaṇëlëlu),ګڼللﺉ (gaṇëlëlëy),ګڼلل / ګڼللۀ (gaṇëlël / gaṇëlëlë),ګڼللې (gaṇëlële)
,,,,,,,,
past perfective,وګڼللم (wëgaṇëlëlëm),وګڼللې (wëgaṇëlële),وګڼلۀ (wëgaṇëlë),وګڼلله (wëgaṇëlëla),وګڼللو (wëgaṇëlëlu),وګڼللﺉ (wëgaṇëlëlëy),وګڼللۀ / وګڼلل (wëgaṇëlël / wëgaṇëlëlë),وګڼللې (wëgaṇëlële)
