0,1,2,3,4,5,6,7,8
,singular,,plural,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,
present imperfective,ودانوم (wëdânëwëm),ودانوې (wëdânëwe),ودانوي (wëdânëwi),ودانوو (wëdânëwu),ودانوﺉ (wëdânëwai),ودانوي (wëdânëwi),,
,,,,,,,,
present perfective,ودان كړم (wëdân kṛëm),ودان كړې (wëdân kṛe),ودان كړي (wëdân kṛi),ودان كړو (wëdân kṛu),ودان كړﺉ (wëdân kṛai),ودان كړي (wëdân ki),,
,,,,,,,,
past imperfective,ودانولم (wëdân këwëlëm),ودانولې (wëdânëwële),وداناوۀ (wëdânâwë),ودانوله (wëdânëwëla),ودانولو (wëdânëwëlu),ودانولﺉ (wëdânëwëlai),ودانولۀودانول (wëdânëwëlë \ wëdânëwël),ودانولې (wëdânëwële)
,,,,,,,,
past perfective,ودان كړلمودان كړم (wëdân kṛëlëm \ wëdân kṛëm),ودان كړلېودان كړې (wëdân kṛële \ wëdân kṛe),ودان كړ (wëdân kë/këṛ),ودانه كړلهودانه كړه (wëdâna kṛëla \ wëdâna kṛa),ودان كړلوودان كړو (wëdân kṛëlu \ wëdân kṛu),ودان كړلﺉودان كړﺉ (wëdân kṛëlai \ wëdân kṛai),ودان كړلودان كړلۀ (wëdân kṛël \ wëdân kṛëlë),ودانې كړلېودانې كړې (wëdâne kṛële \ wëdâne kṛe)
,singular subject,,plural subject,,,,,
Postive,Masculine[singular direct object],Feminine[singular direct object],Masculine[plural direct objects],Feminine [plural direct objects],Masculine[singular direct object],Feminine [singular direct object],Masculine[plural direct objects],Feminine[plural direct objects available]
ودان کړه(wëdân ka),ودانه کړه(wëdâna ka),ودان کړه(wëdân ka),ودانې کړه(wëdâneka ),ودان کړئ(wëdân kai),ودانه کړئ(wëdâna kai),ودان کړئ(wëdân kai),ودانې کړئ(wëdâne kai),
Negative,مه ودانوه (më wëdânëwa),مه ودانوئ (më wëdânëwai),,,,,,
