0,1,2,3,4,5,6,7,8,9,10
,singular,,plural,,,,,,,
,1st person,2nd person,3rd person m,3rd person f,1st person,2nd person,3rd person m,3rd person f,,
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present imperfective,پخوم (pëxëwëm),پخوې (pëxëwe),پخوي (pëxëwi),پخوو (pëxëwu),پخوﺉ (pëxëwai),پخوي (pëxëwi),,,,
,,,,,,,,,,
present perfective,پوخ كړم (pox kṛëm),پوخ كړې (pox kṛe),پوخ كړي (pox kṛi),پوخ كړو (pox kṛu),پوخ كړﺉ (pox kṛai),پوخ كړي (pox ki),,,,
,,,,,,,,,,
past imperfective,پخولم (pëx këwëlëm),پخولې (pëxëwële),پخاوۀ (pëxâwë),پخوله (pëxëwëla),پخولو (pëxëwëlu),پخولﺉ (pëxëwëlai),پخولۀپخول (pëxëwëlë \ pëxëwël),پخولې (pëxëwële),,
,,,,,,,,,,
past perfective,پوخ كړلمپوخ كړم (pox kṛëlëm \ pox kṛëm),پوخ كړلېپوخ كړې (pox kṛële \ pox kṛe),پوخ كړ (pox kë/këṛ),پخه كړلهپخه كړه (pëxa kṛëla \ pëxa kṛa),پوخ كړلوپوخ كړو (pox kṛëlu \ pox kṛu),پوخ كړلﺉپوخ كړﺉ (pox kṛëlai \ pox kṛai),پوخ كړلپوخ كړلۀ (pox kṛël \ pox kṛëlë),پخې كړلېپخې كړې (pëxe kṛële \ pëxe kṛe),,
,singular,,plural,,,,,,,
,1st person m,1st person f,2nd person m,2nd person f,3rd person m,3rd person f,1st person,2nd person,3rd person,3rd person f
زۀ,تۀ,دی / هغه,دا / هغه,موږ,تاسې,دوی / هغوی,,,,
present perfect,پوخ کړی يم (pox këṛay yëm),پخه کړې يم (pëxa këṛe yëm/yëma),پوخ کړی يې (pox këṛay ye),پخه کړې يې (pëxa këṛe ye),پوخ کړی دی (pox këṛay day),پخه کړې ده (pëxa këṛe da),پاخۀ کړي يو (pâxë këṛi yu),پاخۀ کړي يئ/ياست (pâxë këṛi yai/yâst),پاخۀ کړي دي (pâxë këṛi di),
,,,,,,,,,,
past perfect,پوخ کړی وم (pox këṛay wëm),پخه کړې وم/ومه (pëxa këṛe wëm/wëma),پوخ کړی وې (pox këṛay we),پخه کړې وې (pëxa këṛe we),پوخ کړی و (pox këṛay wë),پخه کړې وه (pëxae wa),پاخۀ کړي وو (pâxë këṛi wu),پاخۀ کړي وئ (pâxë këṛi wai),پاخۀ کړي وو\ول (pâxë këṛi wu/wël),پخې کړې وې (pëxe këṛe we)
,,,,,,,,,,
future perfect,به پوخ کړی يم (bë pox këṛay yëm),به پخه کړې يم (bë pëxa këṛe yëm/yëma),به پوخ کړی يې (bë pox këṛay ye),به پخه کړې يې bë (pëxa këṛe ye),به پوخ کړی دی (bë pox këṛay day),به پخه کړې ده (bë pëxa këṛe da),به پاخۀ کړي يو (bë pâxë këṛi yu),به پاخۀ کړي يئ/ياست (bë pâxë këṛi yai/yâst),به پاخۀ کړي دي}} (bë pâxë këṛi di),
