0,1,2
PAST TENSE,singular,plural
1st person: నేను / మేము,విన్నాను,విన్నాము
2nd person: నీవు / మీరు,విన్నావు,విన్నారు
3rd person m: అతను / వారు,విన్నాడు,విన్నారు
3rd person f: ఆమె / వారు,విన్నది,విన్నారు
