0,1,2,3,4,5
infinitive (nafnháttur),að redda,,,,
supine (sagnbót),reddað,,,,
present participle (lýsingarháttur nútíðar),reddandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég redda,við reddum,present (nútíð),ég reddi,við reddum
þú reddar,þið reddið,þú reddir,þið reddið,,
"hann, hún, það reddar","þeir, þær, þau redda","hann, hún, það reddi","þeir, þær, þau reddi",,
,,,,,
past (þátíð),ég reddaði,við redduðum,past (þátíð),ég reddaði,við redduðum
þú reddaðir,þið redduðuð,þú reddaðir,þið redduðuð,,
"hann, hún, það reddaði","þeir, þær, þau redduðu","hann, hún, það reddaði","þeir, þær, þau redduðu",,
,,,,,
imperative (boðháttur),redda (þú),reddið (þið),,,
Forms with appended personal pronoun,,,,,
reddaðu,reddiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
infinitive (nafnháttur),að reddast,,,,
supine (sagnbót),reddast,,,,
present participle (lýsingarháttur nútíðar),"reddandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég reddast,við reddumst,present (nútíð),ég reddist,við reddumst
þú reddast,þið reddist,þú reddist,þið reddist,,
"hann, hún, það reddast","þeir, þær, þau reddast","hann, hún, það reddist","þeir, þær, þau reddist",,
,,,,,
past (þátíð),ég reddaðist,við redduðumst,past (þátíð),ég reddaðist,við redduðumst
þú reddaðist,þið redduðust,þú reddaðist,þið redduðust,,
"hann, hún, það reddaðist","þeir, þær, þau redduðust","hann, hún, það reddaðist","þeir, þær, þau redduðust",,
,,,,,
imperative (boðháttur),reddast (þú),reddist (þið),,,
Forms with appended personal pronoun,,,,,
reddastu,reddisti *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
ætla að redda  ætla að redda um,,reddari,,reddast,
