0,1,2,3,4,5
f-w1,singular,plural,,,
,indefinite,definite,indefinite,definite,
nominative,depla,deplan,deplur,deplurnar,
accusative,deplu,depluna,deplur,deplurnar,
dative,deplu,deplunni,deplum,deplunum,
genitive,deplu,deplunnar,depla,deplanna,
infinitive (nafnháttur),að depla,,,,
supine (sagnbót),deplað,,,,
present participle (lýsingarháttur nútíðar),deplandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég depla,við deplum,present (nútíð),ég depli,við deplum
þú deplar,þið deplið,þú deplir,þið deplið,,
"hann, hún, það deplar","þeir, þær, þau depla","hann, hún, það depli","þeir, þær, þau depli",,
,,,,,
past (þátíð),ég deplaði,við depluðum,past (þátíð),ég deplaði,við depluðum
þú deplaðir,þið depluðuð,þú deplaðir,þið depluðuð,,
"hann, hún, það deplaði","þeir, þær, þau depluðu","hann, hún, það deplaði","þeir, þær, þau depluðu",,
,,,,,
imperative (boðháttur),depla (þú),deplið (þið),,,
Forms with appended personal pronoun,,,,,
deplaðu,depliði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
infinitive (nafnháttur),að deplast,,,,
supine (sagnbót),deplast,,,,
present participle (lýsingarháttur nútíðar),"deplandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég deplast,við deplumst,present (nútíð),ég deplist,við deplumst
þú deplast,þið deplist,þú deplist,þið deplist,,
"hann, hún, það deplast","þeir, þær, þau deplast","hann, hún, það deplist","þeir, þær, þau deplist",,
,,,,,
past (þátíð),ég deplaðist,við depluðumst,past (þátíð),ég deplaðist,við depluðumst
þú deplaðist,þið depluðust,þú deplaðist,þið depluðust,,
"hann, hún, það deplaðist","þeir, þær, þau depluðust","hann, hún, það deplaðist","þeir, þær, þau depluðust",,
,,,,,
imperative (boðháttur),deplast (þú),deplist (þið),,,
Forms with appended personal pronoun,,,,,
deplastu,deplisti *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
