0,1,2,3,4,5
PIE root,,,,,
*gʰel-,,,,,
infinitive (nafnháttur),að gala,,,,
supine (sagnbót),galað,,,,
present participle (lýsingarháttur nútíðar),galandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég gala,við gölum,present (nútíð),ég gali,við gölum
þú galar,þið galið,þú galir,þið galið,,
"hann, hún, það galar","þeir, þær, þau gala","hann, hún, það gali","þeir, þær, þau gali",,
,,,,,
past (þátíð),ég galaði,við göluðum,past (þátíð),ég galaði,við göluðum
þú galaðir,þið göluðuð,þú galaðir,þið göluðuð,,
"hann, hún, það galaði","þeir, þær, þau göluðu","hann, hún, það galaði","þeir, þær, þau göluðu",,
,,,,,
imperative (boðháttur),gala (þú),galið (þið),,,
Forms with appended personal pronoun,,,,,
galaðu,galiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
