0,1,2,3,4,5
infinitive (nafnháttur),að æða,,,,
supine (sagnbót),ætt,,,,
present participle (lýsingarháttur nútíðar),æðandi,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég æði,við æðum,present (nútíð),ég æði,við æðum
þú æðir,þið æðið,þú æðir,þið æðið,,
"hann, hún, það æðir","þeir, þær, þau æða","hann, hún, það æði","þeir, þær, þau æði",,
,,,,,
past (þátíð),ég æddi,við æddum,past (þátíð),ég æddi,við æddum
þú æddir,þið ædduð,þú æddir,þið ædduð,,
"hann, hún, það æddi","þeir, þær, þau æddu","hann, hún, það æddi","þeir, þær, þau æddu",,
,,,,,
imperative (boðháttur),æð (þú),æðið (þið),,,
Forms with appended personal pronoun,,,,,
æddu,æðiði *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
infinitive (nafnháttur),að æðast,,,,
supine (sagnbót),æðst,,,,
present participle (lýsingarháttur nútíðar),"æðandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,
present (nútíð),ég æðist,við æðumst,present (nútíð),ég æðist,við æðumst
þú æðist,þið æðist,þú æðist,þið æðist,,
"hann, hún, það æðist","þeir, þær, þau æðast","hann, hún, það æðist","þeir, þær, þau æðist",,
,,,,,
past (þátíð),ég æddist,við æddumst,past (þátíð),ég æddist,við æddumst
þú æddist,þið æddust,þú æddist,þið æddust,,
"hann, hún, það æddist","þeir, þær, þau æddust","hann, hún, það æddist","þeir, þær, þau æddust",,
,,,,,
imperative (boðháttur),æðst (þú),æðist (þið),,,
Forms with appended personal pronoun,,,,,
æðstu,æðisti *,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,
