0,1,2,3,4,5,6,7,8,9,10,11
septemberlilja  septembermánuður,,septembertær,,,,,,,,,
"Icelandic months (appendix, Icelandic Wikipedia)",,,,,,,,,,,
"janúar, -mánuður","febrúar, -mánuður","mars, -mánuður","apríl, -mánuður","maí, -mánuður","júní, -mánuður","júlí, -mánuður","ágúst, -mánuður","september, -mánuður","október, -mánuður","nóvember, -mánuður","desember, -mánuður"
Icelandic Historic Months (Icelandic Wikipedia),,,,,,,,,,,
þorri(Jan 13 - Feb 11),góa(Feb 13 - 13 March),einmánuður(March 14 - April 13),harpa(April 14 - May 13),skerpla(May 14 - June 12),sólmánuður(June 13 - July 12),heyannir(July 13 - August 14),tvímánuður(August 15 - Sept 14),haustmánuður(Sept 15 - Oct 13),gormánuður(Oct 14 - Nov 13),ýlir(Nov 14 - Dec 13),mörsugur(Dec 14 - Jan 12)
