0,1,2,3,4,5,6,7
"Conjugation of formico (first conjugation, defective, active only)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,formīcō,formīcās,formīcat,formīcāmus,formīcātis,formīcant
imperfect,formīcābam,formīcābās,formīcābat,formīcābāmus,formīcābātis,formīcābant,
future,formīcābō,formīcābis,formīcābit,formīcābimus,formīcābitis,formīcābunt,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,formīcem,formīcēs,formīcet,formīcēmus,formīcētis,formīcent
imperfect,formīcārem,formīcārēs,formīcāret,formīcārēmus,formīcārētis,formīcārent,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,formīcā,—,—,formīcāte,—
future,—,formīcātō,formīcātō,—,formīcātōte,formīcantō,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,formīcāre,—,—,—,—,—,
participles,formīcāns,—,—,—,—,—,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
formīcāre,formīcandī,formīcandō,formīcandum,—,—,,
formīca  formīcābilis  formīcīnus,,formīcōsus  formīcula,,,,,
"Aromanian: furnic, furnicari  English: formicate  French: fourmiller  Old French: formiier",,"Old Italian: formicare  Portuguese: formigar  Romanian: furnica, furnicare",,,,,
