0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
PIE root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Hyekʷ-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third declension neuter.  Case  Singular  Plural  nominative  iecur  iecinora  genitive  iecinoris  iecinorum  dative  iecinorī  iecinoribus  accusative  iecur  iecinora  ablative  iecinore  iecinoribus  vocative  iecur  iecinora,Case,Singular,Plural,nominative,iecur,iecinora,genitive,iecinoris,iecinorum,dative,iecinorī,iecinoribus,accusative,iecur,iecinora,ablative,iecinore,iecinoribus,vocative,iecur,iecinora,Third declension neuter.  Case  Singular  Plural  nominative  iecur  iecora  genitive  iecoris  iecorum  dative  iecorī  iecoribus  accusative  iecur  iecora  ablative  iecore  iecoribus  vocative  iecur  iecora,Case,Singular,Plural,nominative,iecur,iecora,genitive,iecoris,iecorum,dative,iecorī,iecoribus,accusative,iecur,iecora,ablative,iecore,iecoribus,vocative,iecur,iecora
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,iecinoris,iecinorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,iecinorī,iecinoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,iecinore,iecinoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,iecoris,iecorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,iecorī,iecoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,iecore,iecoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,iecinoris,iecinorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,iecinorī,iecinoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,iecinore,iecinoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,iecur,iecinora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,iecoris,iecorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,iecorī,iecoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,iecore,iecoribus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,iecur,iecora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iecinerōsus  iecorālis,,iecorīnus  iecoriticus,,iecorōsus  iecusculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
