0,1,2,3,4,5,6,7,8
Conjugation of contravenio (fourth conjugation),,,,,,,,
indicative,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,contrāveniō,contrāvenīs,contrāvenit,contrāvenīmus,contrāvenītis,contrāveniunt,
imperfect,contrāveniēbam,contrāveniēbās,contrāveniēbat,contrāveniēbāmus,contrāveniēbātis,contrāveniēbant,,
future,contrāveniam,contrāveniēs,contrāveniet,contrāveniēmus,contrāveniētis,contrāvenient,,
perfect,contrāvēnī,contrāvēnistī,contrāvēnit,contrāvēnimus,contrāvēnistis,"contrāvēnērunt, contrāvēnēre",,
pluperfect,contrāvēneram,contrāvēnerās,contrāvēnerat,contrāvēnerāmus,contrāvēnerātis,contrāvēnerant,,
future perfect,contrāvēnerō,contrāvēneris,contrāvēnerit,contrāvēnerimus,contrāvēneritis,contrāvēnerint,,
passive,present,contrāvenior,"contrāvenīris, contrāvenīre",contrāvenītur,contrāvenīmur,contrāvenīminī,contrāveniuntur,
imperfect,contrāveniēbar,"contrāveniēbāris, contrāveniēbāre",contrāveniēbātur,contrāveniēbāmur,contrāveniēbāminī,contrāveniēbantur,,
future,contrāveniar,"contrāveniēris, contrāveniēre",contrāveniētur,contrāveniēmur,contrāveniēminī,contrāvenientur,,
perfect,contrāventus + present active indicative of sum,,,,,,,
pluperfect,contrāventus + imperfect active indicative of sum,,,,,,,
future perfect,contrāventus + future active indicative of sum,,,,,,,
subjunctive,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,contrāveniam,contrāveniās,contrāveniat,contrāveniāmus,contrāveniātis,contrāveniant,
imperfect,contrāvenīrem,contrāvenīrēs,contrāvenīret,contrāvenīrēmus,contrāvenīrētis,contrāvenīrent,,
perfect,contrāvēnerim,contrāvēnerīs,contrāvēnerit,contrāvēnerīmus,contrāvēnerītis,contrāvēnerint,,
pluperfect,contrāvēnissem,contrāvēnissēs,contrāvēnisset,contrāvēnissēmus,contrāvēnissētis,contrāvēnissent,,
passive,present,contrāveniar,"contrāveniāris, contrāveniāre",contrāveniātur,contrāveniāmur,contrāveniāminī,contrāveniantur,
imperfect,contrāvenīrer,"contrāvenīrēris, contrāvenīrēre",contrāvenīrētur,contrāvenīrēmur,contrāvenīrēminī,contrāvenīrentur,,
perfect,contrāventus + present active subjunctive of sum,,,,,,,
pluperfect,contrāventus + imperfect active subjunctive of sum,,,,,,,
imperative,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,—,contrāvenī,—,—,contrāvenīte,—,
future,—,contrāvenītō,contrāvenītō,—,contrāvenītōte,contrāveniuntō,,
passive,present,—,contrāvenīre,—,—,contrāvenīminī,—,
future,—,contrāvenītor,contrāvenītor,—,—,contrāveniuntor,,
non-finite forms,active,passive,,,,,,
present,perfect,future,present,perfect,future,,,
infinitives,contrāvenīre,contrāvēnisse,contrāventūrus esse,contrāvenīrī,contrāventus esse,contrāventum īrī,,
participles,contrāveniēns,—,contrāventūrus,—,contrāventus,contrāveniendus,,
verbal nouns,gerund,supine,,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,,
contrāvenīre,contrāveniendī,contrāveniendō,contrāveniendum,contrāventum,contrāventū,,,
adveniō  anteveniō  circumveniō  conveniō,,dēveniō  ēveniō  interveniō  inveniō,,obveniō  perveniō  praeveniō  prōveniō,,reveniō  subveniō  superveniō  trānsveniō,,veniō  ventitō  ventō
Catalan: contravenir  English: contravene  French: contrevenir,,Portuguese: contravir  Spanish: contravenir,,,,,,
