0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Second declension.  Case  Singular  Plural  nominative  fīcus  fīcī  genitive  fīcī  fīcōrum  dative  fīcō  fīcīs  accusative  fīcum  fīcōs  ablative  fīcō  fīcīs  vocative  fīce  fīcī,Case,Singular,Plural,nominative,fīcus,fīcī,genitive,fīcī,fīcōrum,dative,fīcō,fīcīs,accusative,fīcum,fīcōs,ablative,fīcō,fīcīs,vocative,fīce,fīcī,Fourth declension.  Case  Singular  Plural  nominative  fīcus  fīcūs  genitive  fīcūs  fīcuum  dative  fīcuī  fīcibus  accusative  fīcum  fīcūs  ablative  fīcū  fīcibus  vocative  fīcus  fīcūs,Case,Singular,Plural,nominative,fīcus,fīcūs,genitive,fīcūs,fīcuum,dative,fīcuī,fīcibus,accusative,fīcum,fīcūs,ablative,fīcū,fīcibus,vocative,fīcus,fīcūs
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,fīcus,fīcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,fīcī,fīcōrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,fīcō,fīcīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,fīcum,fīcōs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,fīcō,fīcīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,fīce,fīcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,fīcus,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,fīcūs,fīcuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,fīcuī,fīcibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,fīcum,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,fīcū,fīcibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,fīcus,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,fīcus,fīcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,fīcī,fīcōrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,fīcō,fīcīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,fīcum,fīcōs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,fīcō,fīcīs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,fīce,fīcī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,fīcus,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,fīcūs,fīcuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dative,fīcuī,fīcibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,fīcum,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,fīcū,fīcibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocative,fīcus,fīcūs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fīcārius  fīcātum  fīcedula,,fīcētum  fīcōsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albanian: fiq, fik  Aromanian: hic, hicã  Asturian: figu  Basque: piku  Catalan: figa  Dalmatian: faica  English: ficus, fig  French: figue  Friulian: fîc",,"German: Feige  Italian: fico, fica  Occitan: figa  Old Portuguese: figo  Galician: figo  Portuguese: figo  Polish: figa  Russian: фи́кус ‎(fíkus) (fíkus), фи́га ‎(fíga) (fíga)",,"Sardinian: ficu, figu  Sicilian: ficu  Slovene: figa  Spanish: higo  Classical Nahuatl: hīcox  Translingual: Ficus  Venetian: figo, figa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
