0,1,2,3,4,5,6,7
"Conjugation of battuo (third conjugation, no passive perfect forms)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,battuō,battuis,battuit,battuimus,battuitis,battuunt
imperfect,battuēbam,battuēbās,battuēbat,battuēbāmus,battuēbātis,battuēbant,
future,battuam,battuēs,battuet,battuēmus,battuētis,battuent,
perfect,battuī,battuistī,battuit,battuimus,battuistis,"battuērunt, battuēre",
pluperfect,battueram,battuerās,battuerat,battuerāmus,battuerātis,battuerant,
future perfect,battuerō,battueris,battuerit,battuerimus,battueritis,battuerint,
passive,present,battuor,"battueris, battuere",battuitur,battuimur,battuiminī,battuuntur
imperfect,battuēbar,"battuēbāris, battuēbāre",battuēbātur,battuēbāmur,battuēbāminī,battuēbantur,
future,battuar,"battuēris, battuēre",battuētur,battuēmur,battuēminī,battuentur,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,battuam,battuās,battuat,battuāmus,battuātis,battuant
imperfect,battuerem,battuerēs,battueret,battuerēmus,battuerētis,battuerent,
perfect,battuerim,battuerīs,battuerit,battuerīmus,battuerītis,battuerint,
pluperfect,battuissem,battuissēs,battuisset,battuissēmus,battuissētis,battuissent,
passive,present,battuar,"battuāris, battuāre",battuātur,battuāmur,battuāminī,battuantur
imperfect,battuerer,"battuerēris, battuerēre",battuerētur,battuerēmur,battuerēminī,battuerentur,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,battue,—,—,battuite,—
future,—,battuitō,battuitō,—,battuitōte,battuuntō,
passive,present,—,battuere,—,—,battuiminī,—
future,—,battuitor,battuitor,—,—,battuuntor,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,battuere,battuisse,—,battuī,—,—,
participles,battuēns,—,—,—,—,battuendus,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
battuere,battuendī,battuendō,battuendum,—,—,,
"Aromanian: bat, batiri  Catalan: batre  Dalmatian: batar, báter  English: batter, battery, combat, debate  French: battre  Friulian: bati  Istro-Romanian: båte  Italian: battere",,"Occitan: bàter, batre  Portuguese: bater  Romanian: bate, batere  Romansch: batter, batar  Sicilian: bàttiri  Spanish: batir  Venetian: bàtar, bàter",,,,,
