0,1,2,3,4,5,6,7,8
Conjugation of evenio (fourth conjugation),,,,,,,,
indicative,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,ēveniō,ēvenīs,ēvenit,ēvenīmus,ēvenītis,ēveniunt,
imperfect,ēveniēbam,ēveniēbās,ēveniēbat,ēveniēbāmus,ēveniēbātis,ēveniēbant,,
future,ēveniam,ēveniēs,ēveniet,ēveniēmus,ēveniētis,ēvenient,,
perfect,ēvēnī,ēvēnistī,ēvēnit,ēvēnimus,ēvēnistis,"ēvēnērunt, ēvēnēre",,
pluperfect,ēvēneram,ēvēnerās,ēvēnerat,ēvēnerāmus,ēvēnerātis,ēvēnerant,,
future perfect,ēvēnerō,ēvēneris,ēvēnerit,ēvēnerimus,ēvēneritis,ēvēnerint,,
passive,present,ēvenior,"ēvenīris, ēvenīre",ēvenītur,ēvenīmur,ēvenīminī,ēveniuntur,
imperfect,ēveniēbar,"ēveniēbāris, ēveniēbāre",ēveniēbātur,ēveniēbāmur,ēveniēbāminī,ēveniēbantur,,
future,ēveniar,"ēveniēris, ēveniēre",ēveniētur,ēveniēmur,ēveniēminī,ēvenientur,,
perfect,ēventus + present active indicative of sum,,,,,,,
pluperfect,ēventus + imperfect active indicative of sum,,,,,,,
future perfect,ēventus + future active indicative of sum,,,,,,,
subjunctive,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,ēveniam,ēveniās,ēveniat,ēveniāmus,ēveniātis,ēveniant,
imperfect,ēvenīrem,ēvenīrēs,ēvenīret,ēvenīrēmus,ēvenīrētis,ēvenīrent,,
perfect,ēvēnerim,ēvēnerīs,ēvēnerit,ēvēnerīmus,ēvēnerītis,ēvēnerint,,
pluperfect,ēvēnissem,ēvēnissēs,ēvēnisset,ēvēnissēmus,ēvēnissētis,ēvēnissent,,
passive,present,ēveniar,"ēveniāris, ēveniāre",ēveniātur,ēveniāmur,ēveniāminī,ēveniantur,
imperfect,ēvenīrer,"ēvenīrēris, ēvenīrēre",ēvenīrētur,ēvenīrēmur,ēvenīrēminī,ēvenīrentur,,
perfect,ēventus + present active subjunctive of sum,,,,,,,
pluperfect,ēventus + imperfect active subjunctive of sum,,,,,,,
imperative,singular,plural,,,,,,
first,second,third,first,second,third,,,
active,present,—,ēvenī,—,—,ēvenīte,—,
future,—,ēvenītō,ēvenītō,—,ēvenītōte,ēveniuntō,,
passive,present,—,ēvenīre,—,—,ēvenīminī,—,
future,—,ēvenītor,ēvenītor,—,—,ēveniuntor,,
non-finite forms,active,passive,,,,,,
present,perfect,future,present,perfect,future,,,
infinitives,ēvenīre,ēvēnisse,ēventūrus esse,ēvenīrī,ēventus esse,ēventum īrī,,
participles,ēveniēns,—,ēventūrus,—,ēventus,ēveniendus,,
verbal nouns,gerund,supine,,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,,
ēvenīre,ēveniendī,ēveniendō,ēveniendum,ēventum,ēventū,,,
adveniō  antēveniō  circumveniō  contrāveniō,,conveniō  dēveniō  interveniō  inveniō,,obveniō  perveniō  praeveniō  prōveniō,,reveniō  subveniō  superveniō  transveniō,,veniō  ventitō  ventō
