0,1,2
PIE root,,
*h₂enh₁-,,
,singular (tekil),plural (çoğul)
nominative (yalın),can,canlar
definite accusative (belirtme),canı,canları
dative (yönelme),cana,canlara
locative (bulunma),canda,canlarda
ablative (çıkma),candan,canlardan
genitive (tamlayan),canın,canların
benim (my),singular (tekil),plural (çoğul)
nominative (yalın),canım,canlarım
definite accusative (belirtme),canımı,canlarımı
dative (yönelme),canıma,canlarıma
locative (bulunma),canımda,canlarımda
ablative (çıkma),canımdan,canlarımdan
genitive (tamlayan),canımın,canlarımın
senin (your),singular (tekil),plural (çoğul)
nominative (yalın),canın,canların
definite accusative (belirtme),canını,canlarını
dative (yönelme),canına,canlarına
locative (bulunma),canında,canlarında
ablative (çıkma),canından,canlarından
genitive (tamlayan),canının,canlarının
onun (her/his/its),singular (tekil),plural (çoğul)
nominative (yalın),canı,canları
definite accusative (belirtme),canını,canlarını
dative (yönelme),canına,canlarına
locative (bulunma),canında,canlarında
ablative (çıkma),canından,canlarından
genitive (tamlayan),canının,canlarının
bizim (our),singular (tekil),plural (çoğul)
nominative (yalın),canımız,canlarımız
definite accusative (belirtme),canımızı,canlarımızı
dative (yönelme),canımıza,canlarımıza
locative (bulunma),canımızda,canlarımızda
ablative (çıkma),canımızdan,canlarımızdan
genitive (tamlayan),canımızın,canlarımızın
sizin (your),singular (tekil),plural (çoğul)
nominative (yalın),canınız,canlarınız
definite accusative (belirtme),canınızı,canlarınızı
dative (yönelme),canınıza,canlarınıza
locative (bulunma),canınızda,canlarınızda
ablative (çıkma),canınızdan,canlarınızdan
genitive (tamlayan),canınızın,canlarınızın
onların (their),singular (tekil),plural (çoğul)
nominative (yalın),canları,canları
definite accusative (belirtme),canlarını,canlarını
dative (yönelme),canlarına,canlarına
locative (bulunma),canlarında,canlarında
ablative (çıkma),canlarından,canlarından
genitive (tamlayan),canlarının,canlarının
