0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
future,redactare,redactares,redactare,redactáremos,redactareis,redactaren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperative,,—,túvos,usted,nosotrosnosotras,vosotrosvosotras,ustedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affirmative,,redactatúredactávos,redacte,redactemos,redactad,redacten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,,no redactes,no redacte,no redactemos,no redactéis,no redacten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(redactar):     redactar me te le nos os les se  redactar redactarme redactarte redactarle redactarnos redactaros redactarles lo redactarlo redactármelo redactártelo - redactárnoslo redactároslo - redactárselo  la redactarla redactármela redactártela - redactárnosla redactárosla - redactársela  los redactarlos redactármelos redactártelos - redactárnoslos redactároslos - redactárselos  las redactarlas redactármelas redactártelas - redactárnoslas redactároslas - redactárselas,,,me,te,le,nos,os,les,se,,redactar,redactarme,redactarte,redactarle,redactarnos,redactaros,redactarles,,lo,redactarlo,redactármelo,redactártelo,-,redactárnoslo,redactároslo,-,redactárselo,la,redactarla,redactármela,redactártela,-,redactárnosla,redactárosla,-,redactársela,los,redactarlos,redactármelos,redactártelos,-,redactárnoslos,redactároslos,-,redactárselos,las,redactarlas,redactármelas,redactártelas,-,redactárnoslas,redactároslas,-,redactárselas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,me,te,le,nos,os,les,se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,redactar,redactarme,redactarte,redactarle,redactarnos,redactaros,redactarles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,redactarlo,redactármelo,redactártelo,-,redactárnoslo,redactároslo,-,redactárselo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
