0,1,2,3,4,5,6,7,8,9
infinitive,kubadili,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,nabadili,wabadili,abadili,wabadili,labadili,chabadili,yabadili,wabadili
progressive,ninabadili,unabadili,anabadili,unabadili,linabadili,kinabadili,inabadili,unabadili,
habitual,hubadili,,,,,,,,
past,nilibadili,ulibadili,alibadili,ulibadili,lilibadili,kilibadili,ilibadili,ulibadili,
perfect,nimebadili,umebadili,amebadili,umebadili,limebadili,kimebadili,imebadili,umebadili,
future,nitabadili,utabadili,atabadili,utabadili,litabadili,kitabadili,itabadili,utabadili,
consecutive,nikabadili,ukabadili,akabadili,ukabadili,likabadili,kikabadili,ikabadili,ukabadili,
conditional,present,ningebadili,ungebadili,angebadili,ungebadili,lingebadili,kingebadili,ingebadili,ungebadili
past,ningalibadili,ungalibadili,angalibadili,ungalibadili,lingalibadili,kingalibadili,ingalibadili,ungalibadili,
subjunctive,general,nibadili,ubadili,abadili,ubadili,libadili,kibadili,ibadili,ubadili
consecutive,nikabadili,ukabadili,akabadili,ukabadili,likabadili,kikabadili,ikabadili,ukabadili,
comitative,nikibadili,ukibadili,akibadili,ukibadili,likibadili,kikibadili,ikibadili,ukibadili,
imperative,,badili!__badili!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,twabadili,mwabadili,wabadili,yabadili,yabadili,vyabadili,zabadili,zabadili
progressive,tunabadili,mnabadili,wanabadili,inabadili,yanabadili,vinabadili,zinabadili,zinabadili,
habitual,hubadili,,,,,,,,
past,tulibadili,mlibadili,walibadili,ilibadili,yalibadili,vilibadili,zilibadili,zilibadili,
perfect,tumebadili,mmebadili,wamebadili,imebadili,yamebadili,vimebadili,zimebadili,zimebadili,
future,tutabadili,mtabadili,watabadili,itabadili,yatabadili,vitabadili,zitabadili,zitabadili,
consecutive,tukabadili,mkabadili,wakabadili,ikabadili,yakabadili,vikabadili,zikabadili,zikabadili,
conditional,present,tungebadili,mngebadili,wangebadili,ingebadili,yangebadili,vingebadili,zingebadili,zingebadili
past,tungalibadili,mngalibadili,wangalibadili,ingalibadili,yangalibadili,vingalibadili,zingalibadili,zingalibadili,
subjunctive,general,tubadili,mbadili,wabadili,ibadili,yabadili,vibadili,zibadili,zibadili
consecutive,tukabadili,mkabadili,wakabadili,ikabadili,yakabadili,vikabadili,zikabadili,zikabadili,
comitative,tukibadili,mkibadili,wakibadili,ikibadili,yakibadili,vikibadili,zikibadili,zikibadili,
imperative,tubadili,badilini!__badilini!‡,,,,,,,
infinitive,kutobadili or kutokubadili,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,sibadili,hubadili,habadili,haubadili,halibadili,hakibadili,haibadili,haubadili
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,sikubadili,hukubadili,hakubadili,haukubadili,halikubadili,hakikubadili,haikubadili,haukubadili,
perfect,sijabadili,hujabadili,hajabadili,haujabadili,halijabadili,hakijabadili,haijabadili,haujabadili,
future,sitabadili,hutabadili,hatabadili,hautabadili,halitabadili,hakitabadili,haitabadili,hautabadili,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,nisingebadili,usingebadili,asingebadili,usingebadili,lisingebadili,kisingebadili,isingebadili,usingebadili
past,nisingalibadili,usingalibadili,asingalibadili,usingalibadili,lisingalibadili,kisingalibadili,isingalibadili,usingalibadili,
subjunctive,general,nisibadili,usibadili,asibadili,usibadili,lisibadili,kisibadili,isibadili,usibadili
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,nisipobadili,usipobadili,asipobadili,usipobadili,lisipobadili,kisipobadili,isipobadili,usipobadili,
imperative,,usibadili!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,hatubadili,hambadili,hawabadili,haibadili,hayabadili,havibadili,hazibadili,hazibadili
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,hatukubadili,hamkubadili,hawakubadili,haikubadili,hayakubadili,havikubadili,hazikubadili,hazikubadili,
perfect,hatujabadili,hamjabadili,hawajabadili,haijabadili,hayajabadili,havijabadili,hazijabadili,hazijabadili,
future,hatutabadili,hamtabadili,hawatabadili,haitabadili,hayatabadili,havitabadili,hazitabadili,hazitabadili,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
