0,1,2,3,4,5,6,7,8,9
infinitive,kwamba,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,naamba,waamba,aamba,waamba,laamba,chaamba,yaamba,waamba
progressive,ninaamba,unaamba,anaamba,unaamba,linaamba,kinaamba,inaamba,unaamba,
habitual,huamba,,,,,,,,
past,niliamba,uliamba,aliamba,uliamba,liliamba,kiliamba,iliamba,uliamba,
perfect,nimeamba,umeamba,ameamba,umeamba,limeamba,kimeamba,imeamba,umeamba,
future,nitaamba,utaamba,ataamba,utaamba,litaamba,kitaamba,itaamba,utaamba,
consecutive,nikaamba,ukaamba,akaamba,ukaamba,likaamba,kikaamba,ikaamba,ukaamba,
conditional,present,ningeamba,ungeamba,angeamba,ungeamba,lingeamba,kingeamba,ingeamba,ungeamba
past,ningaliamba,ungaliamba,angaliamba,ungaliamba,lingaliamba,kingaliamba,ingaliamba,ungaliamba,
subjunctive,general,niambe,uambe,aambe,uambe,liambe,kiambe,iambe,uambe
consecutive,nikaambe,ukaambe,akaambe,ukaambe,likaambe,kikaambe,ikaambe,ukaambe,
comitative,nikiamba,ukiamba,akiamba,ukiamba,likiamba,kikiamba,ikiamba,ukiamba,
imperative,,amba!__ambe!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,twaamba,mwaamba,waamba,yaamba,yaamba,vyaamba,zaamba,zaamba
progressive,tunaamba,mnaamba,wanaamba,inaamba,yanaamba,vinaamba,zinaamba,zinaamba,
habitual,huamba,,,,,,,,
past,tuliamba,mliamba,waliamba,iliamba,yaliamba,viliamba,ziliamba,ziliamba,
perfect,tumeamba,mmeamba,wameamba,imeamba,yameamba,vimeamba,zimeamba,zimeamba,
future,tutaamba,mtaamba,wataamba,itaamba,yataamba,vitaamba,zitaamba,zitaamba,
consecutive,tukaamba,mkaamba,wakaamba,ikaamba,yakaamba,vikaamba,zikaamba,zikaamba,
conditional,present,tungeamba,mngeamba,wangeamba,ingeamba,yangeamba,vingeamba,zingeamba,zingeamba
past,tungaliamba,mngaliamba,wangaliamba,ingaliamba,yangaliamba,vingaliamba,zingaliamba,zingaliamba,
subjunctive,general,twambe,mwambe,waambe,iambe,yaambe,viambe,ziambe,ziambe
consecutive,tukaambe,mkaambe,wakaambe,ikaambe,yakaambe,vikaambe,zikaambe,zikaambe,
comitative,tukiamba,mkiamba,wakiamba,ikiamba,yakiamba,vikiamba,zikiamba,zikiamba,
imperative,twambe,ambeni!__ambeni!‡,,,,,,,
infinitive,kwtoamba or kwtokuamba,,,,,,,,
,,singular person,,,,,,,
,,1st personmimi,2nd personwewe,3rd person/Class 1yeye/(m),Class 3(m),Class 5(ji),Class 7(ki),Class 9(n),Class 11/14(u)
indicative,general,siambi,huambi,haambi,hauambi,haliambi,hakiambi,haiambi,hauambi
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,sikuamba,hukuamba,hakuamba,haukuamba,halikuamba,hakikuamba,haikuamba,haukuamba,
perfect,sijaamba,hujaamba,hajaamba,haujaamba,halijaamba,hakijaamba,haijaamba,haujaamba,
future,sitaamba,hutaamba,hataamba,hautaamba,halitaamba,hakitaamba,haitaamba,hautaamba,
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
conditional,present,nisingeamba,usingeamba,asingeamba,usingeamba,lisingeamba,kisingeamba,isingeamba,usingeamba
past,nisingaliamba,usingaliamba,asingaliamba,usingaliamba,lisingaliamba,kisingaliamba,isingaliamba,usingaliamba,
subjunctive,general,nisiambe,usiambe,asiambe,usiambe,lisiambe,kisiambe,isiambe,usiambe
consecutive,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,Use Subjunctive Form,
comitative,nisipoamba,usipoamba,asipoamba,usipoamba,lisipoamba,kisipoamba,isipoamba,usipoamba,
imperative,,usiambe!‡,,,,,,,
,,plural person,,,,,,,
,,1st personsisi,2nd personninyi,3rd person/Class 2wao/(wa),Class 4(mi),Class 6(ma),Class 8(vi),Class 10(n),Class 10(n)†
indicative,general,hatuambi,hamambi,hawaambi,haiambi,hayaambi,haviambi,haziambi,haziambi
progressive,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,Use General Form,
habitual,Use General Form,,,,,,,,
past,hatukuamba,hamkuamba,hawakuamba,haikuamba,hayakuamba,havikuamba,hazikuamba,hazikuamba,
