0,1,2,3,4,5,6,7,8,9,10,11
case,first person,,,,,,,,,,
singular,dual,plural,,,,,,,,,
str.,encl.,str.,str.,,,,,,,,
nominative,ἐγώ,,"νώ, νῶϊ",ἡμεῖς,,,,,,,
genitive,ἐμοῦ,μου,νῷν,ἡμῶν,,,,,,,
dative,ἐμοί,μοι,νῷν,ἡμῖν,,,,,,,
accusative,ἐμέ,με,"νώ, νῶϊ",ἡμᾶς,,,,,,,
,,,,,,,,,,,
adjective,ἐμός,,,ἡμέτερος,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ἐμός,ἐμή,ἐμόν,,ἐμώ,ἐμᾱ́,ἐμώ,,ἐμοί,ἐμαί,ἐμᾰ́
Genitive,ἐμοῦ,ἐμῆς,ἐμοῦ,,ἐμοῖν,ἐμαῖν,ἐμοῖν,,ἐμῶν,ἐμῶν,ἐμῶν
Dative,ἐμῷ,ἐμῇ,ἐμῷ,,ἐμοῖν,ἐμαῖν,ἐμοῖν,,ἐμοῖς,ἐμαῖς,ἐμοῖς
Accusative,ἐμόν,ἐμήν,ἐμόν,,ἐμώ,ἐμᾱ́,ἐμώ,,ἐμούς,ἐμᾱ́ς,ἐμᾰ́
Vocative,ἐμέ,ἐμή,ἐμόν,,ἐμώ,ἐμᾱ́,ἐμώ,,ἐμοί,ἐμαί,ἐμᾰ́
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ἐμῶς,,ἐμώτερος,,ἐμώτᾰτος,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
