0,1,2,3
Case / #,Singular,Dual,Plural
Nominative,ὁ ἔλεος,τὼ ἐλέω,οἱ ἔλεοι
Genitive,τοῦ ἐλέου,τοῖν ἐλέοιν,τῶν ἐλέων
Dative,τῷ ἐλέῳ,τοῖν ἐλέοιν,τοῖς ἐλέοις
Accusative,τὸν ἔλεον,τὼ ἐλέω,τοὺς ἐλέους
Vocative,ἔλεε,ἐλέω,ἔλεοι
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,
Case / #,Singular,Dual,Plural
Nominative,τὸ ἔλεος,τὼ ἐλέεε,τᾰ̀ ἐλέεᾰ
Genitive,τοῦ ἐλέεος,τοῖν ἐλεέοιν,τῶν ἐλεέων
Dative,τῷ ἐλέεῐ̈,τοῖν ἐλεέοιν,τοῖς ἐλέεσῐ(ν)
Accusative,τὸ ἔλεος,τὼ ἐλέεε,τᾰ̀ ἐλέεᾰ
Vocative,ἔλεος,ἐλέεε,ἐλέεᾰ
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,
Case / #,Singular,Dual,Plural
Nominative,τὸ ἔλεος,τὼ ἐλέει,τᾰ̀ ἐλέη
Genitive,τοῦ ἐλέους,τοῖν ἐλεοῖν,τῶν ἐλεῶν
Dative,τῷ ἐλέει,τοῖν ἐλεοῖν,τοῖς ἐλέεσῐ(ν)
Accusative,τὸ ἔλεος,τὼ ἐλέει,τᾰ̀ ἐλέη
Vocative,ἔλεος,ἐλέει,ἐλέη
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,
