0,1,2,3,4,5,6,7,8,9
<  εʹ,ϝʹ,ζʹ  >,,,,,,,
Cardinal : ἕξ ‎(héx)     Ordinal : ἕκτος ‎(héktos)     Adverbial : ἑξάκις ‎(hexákis),,,,,,,,,
,,,,,,,,,
Number,Singular,Dual,Plural,,,,,,
Case / Gender,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,Masculine,Feminine,Neuter
Nominative,ἕκτος,ἕκτη,ἕκτον,ἕκτω,ἕκτα,ἕκτω,ἕκτοι,ἕκται,ἕκτα
Genitive,ἕκτου,ἕκτης,ἕκτου,ἕκτοιν,ἕκταιν,ἕκτοιν,ἕκτων,ἕκτων,ἕκτων
Dative,ἕκτῳ,ἕκτῃ,ἕκτῳ,ἕκτοιν,ἕκταιν,ἕκτοιν,ἕκτοις,ἕκταις,ἕκτοις
Accusative,ἕκτον,ἕκτην,ἕκτον,ἕκτω,ἕκτα,ἕκτω,ἕκτους,ἕκτας,ἕκτα
Vocative,ἕκτε,ἕκτη,ἕκτον,ἕκτω,ἕκτα,ἕκτω,ἕκτοι,ἕκται,ἕκτα
,,,,,,,,,
