0,1,2,3,4,5,6,7,8,9,10,11
case,second person,,,,,,,,,,
singular,dual,plural,,,,,,,,,
str.,encl.,str.,str.,,,,,,,,
nominative,σύ,,"σφώ, σφῶϊ",ῡ̔μεῖς,,,,,,,
genitive,σοῦ,σου,σφῷν,ῡ̔μῶν,,,,,,,
dative,σοί,σοι,σφῷν,ῡ̔μῖν,,,,,,,
accusative,σέ,σε,"σφώ, σφῶϊ",ῡ̔μᾶς,,,,,,,
,,,,,,,,,,,
adjective,σός,,,ῡ̔μέτερος,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ῡ̔μέτερος,ῡ̔μετέρᾱ,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μέτεροι,ῡ̔μετέραι,ῡ̔μέτερᾰ
Genitive,ῡ̔μετέρου,ῡ̔μετέρᾱς,ῡ̔μετέρου,,ῡ̔μετέροιν,ῡ̔μετέραιν,ῡ̔μετέροιν,,ῡ̔μετέρων,ῡ̔μετέρων,ῡ̔μετέρων
Dative,ῡ̔μετέρῳ,ῡ̔μετέρᾳ,ῡ̔μετέρῳ,,ῡ̔μετέροιν,ῡ̔μετέραιν,ῡ̔μετέροιν,,ῡ̔μετέροις,ῡ̔μετέραις,ῡ̔μετέροις
Accusative,ῡ̔μέτερον,ῡ̔μετέρᾱν,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μετέρους,ῡ̔μετέρᾱς,ῡ̔μέτερᾰ
Vocative,ῡ̔μέτερε,ῡ̔μετέρᾱ,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μέτεροι,ῡ̔μετέραι,ῡ̔μέτερᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ῡ̔μέτερον,,(ῡ̔μέτερος),,(ῡ̔μέτερος),,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ῡ̔μέτερος,ῡ̔μετέρη,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μέτεροι,ῡ̔μετέραι,ῡ̔μέτερᾰ
Genitive,ῡ̔μετέρου,ῡ̔μετέρης,ῡ̔μετέρου,,ῡ̔μετέροιν,ῡ̔μετέραιν,ῡ̔μετέροιν,,ῡ̔μετέρων,ῡ̔μετέρων,ῡ̔μετέρων
Dative,ῡ̔μετέρῳ,ῡ̔μετέρῃ,ῡ̔μετέρῳ,,ῡ̔μετέροιν,ῡ̔μετέραιν,ῡ̔μετέροιν,,ῡ̔μετέροισῐ(ν),ῡ̔μετέρῃσῐ(ν),ῡ̔μετέροισῐ(ν)
Accusative,ῡ̔μέτερον,ῡ̔μετέρην,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μετέρους,ῡ̔μετέρᾱς,ῡ̔μέτερᾰ
Vocative,ῡ̔μέτερε,ῡ̔μετέρη,ῡ̔μέτερον,,ῡ̔μετέρω,ῡ̔μετέρᾱ,ῡ̔μετέρω,,ῡ̔μέτεροι,ῡ̔μετέραι,ῡ̔μέτερᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ῡ̔μετέρως,,ῡ̔μετερώτερος,,ῡ̔μετερώτᾰτος,,,,,,,
Notes:,Dialects other than Attic are not well attested. Some forms may be based on conjecture. Use with caution.,,,,,,,,,,
