0,1,2,3
Bengali অক্ষত ‎(akṣata)  Gujarati: અક્ષત ‎(akṣata)  Hindi: अक्षत ‎(akṣata)  Marathi: अक्षत ‎(akṣata)  Rajasthani: अखत ‎(akhat)  Telugu: అక్షతము ‎(akṣatamu),,,
Masculine a-stem declension of अक्षत,,,
Nom. sg.,अक्षतः ‎(akṣataḥ),,
Gen. sg.,अक्षतस्य ‎(akṣatasya),,
,Singular,Dual,Plural
Nominative,अक्षतः ‎(akṣataḥ),अक्षतौ ‎(akṣatau),अक्षताः ‎(akṣatāḥ)
Vocative,अक्षत ‎(akṣata),अक्षतौ ‎(akṣatau),अक्षताः ‎(akṣatāḥ)
Accusative,अक्षतम् ‎(akṣatam),अक्षतौ ‎(akṣatau),अक्षतान् ‎(akṣatān)
Instrumental,अक्षतेन ‎(akṣatena),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतैः ‎(akṣataiḥ)
Dative,अक्षताय ‎(akṣatāya),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतेभ्यः ‎(akṣatebhyaḥ)
Ablative,अक्षतात् ‎(akṣatāt),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतेभ्यः ‎(akṣatebhyaḥ)
Genitive,अक्षतस्य ‎(akṣatasya),अक्षतयोः ‎(akṣatayoḥ),अक्षतानाम् ‎(akṣatānām)
Locative,अक्षते ‎(akṣate),अक्षतयोः ‎(akṣatayoḥ),अक्षतेषु ‎(akṣateṣu)
Neuter a-stem declension of अक्षत,,,
Nom. sg.,अक्षतम् ‎(akṣatam),,
Gen. sg.,अक्षतस्य ‎(akṣatasya),,
,Singular,Dual,Plural
Nominative,अक्षतम् ‎(akṣatam),अक्षते ‎(akṣate),अक्षतानि ‎(akṣatāni)
Vocative,अक्षत ‎(akṣata),अक्षते ‎(akṣate),अक्षतानि ‎(akṣatāni)
Accusative,अक्षतम् ‎(akṣatam),अक्षते ‎(akṣate),अक्षतानि ‎(akṣatāni)
Instrumental,अक्षतेन ‎(akṣatena),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतैः ‎(akṣataiḥ)
Dative,अक्षता ‎(akṣatā),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतेभ्यः ‎(akṣatebhyaḥ)
Ablative,अक्षतात् ‎(akṣatāt),अक्षताभ्याम् ‎(akṣatābhyām),अक्षतेभ्यः ‎(akṣatebhyaḥ)
Genitive,अक्षतस्य ‎(akṣatasya),अक्षतयोः ‎(akṣatayoḥ),अक्षतानाम् ‎(akṣatānām)
Locative,अक्षते ‎(akṣate),अक्षतयोः ‎(akṣatayoḥ),अक्षतेषु ‎(akṣateṣu)
Punjabi: ਅਖਤਾ ‎(akhta)  Telugu: అక్షతుడు ‎(akṣatuḍu),,,
