0,1,2,3,4,5
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,
,,Present(tagadne),Past(pagātne),Future(nākotne),
1st pers. sg.,es,vēlos,vēlējos,vēlēšos,—
2nd pers. sg.,tu,vēlies,vēlējies,vēlēsies,vēlies
3rd pers. sg.,"viņš, viņa",vēlas,vēlējās,vēlēsies,lai vēlas
1st pers. pl.,mēs,vēlamies,vēlējāmies,vēlēsimies,vēlēsimies
2nd pers. pl.,jūs,vēlaties,vēlējāties,"vēlēsieties,vēlēsities",vēlieties
3rd pers. pl.,"viņi, viņas",vēlas,vēlējās,vēlēsies,lai vēlas
,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,
Present,vēloties,Present Active 1 (Adj.),—,,
Past,esot vēlējies,Present Active 2 (Adv.),vēlēdamies,,
Future,vēlēšoties,Present Active 3 (Adv.),vēloties,,
Imperative,lai vēloties,Present Active 4 (Obj.),vēlamies,,
CONDITIONAL (vēlējuma izteiksme),Past Active,vēlējies,,,
Present,vēlētos,Present Passive,—,,
Past,būtu vēlējies,Past Passive,—,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,
Indicative,(būt) jāvēlas,Infinitive (nenoteiksme),vēlēties,,
Conjunctive 1,esot jāvēlas,Negative Infinitive,nevēlēties,,
Conjunctive 2,jāvēloties,Verbal noun,vēlēšanās,,
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,
,,Present(tagadne),Past(pagātne),Future(nākotne),
1st pers. sg.,es,vēlējos,vēlējos,vēlēšos,—
2nd pers. sg.,tu,vēlējies,vēlējies,vēlēsies,vēlējies
3rd pers. sg.,"viņš, viņa",vēlējas,vēlējās,vēlēsies,lai vēlējas
1st pers. pl.,mēs,vēlējamies,vēlējāmies,vēlēsimies,vēlēsimies
2nd pers. pl.,jūs,vēlējaties,vēlējāties,"vēlēsieties,vēlēsities",vēlējieties
3rd pers. pl.,"viņi, viņas",vēlējas,vēlējās,vēlēsies,lai vēlējas
,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,
Present,vēlējoties,Present Active 1 (Adj.),—,,
Past,esot vēlējies,Present Active 2 (Adv.),vēlēdamies,,
Future,vēlēšoties,Present Active 3 (Adv.),vēlējoties,,
Imperative,lai vēlējoties,Present Active 4 (Obj.),vēlējamies,,
CONDITIONAL (vēlējuma izteiksme),Past Active,vēlējies,,,
Present,vēlētos,Present Passive,—,,
Past,būtu vēlējies,Past Passive,—,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,
Indicative,(būt) jāvēlējas,Infinitive (nenoteiksme),vēlēties,,
Conjunctive 1,esot jāvēlējas,Negative Infinitive,nevēlēties,,
Conjunctive 2,jāvēlējoties,Verbal noun,vēlēšanās,,
