0,1,2
Tense \ Voice,Active,Passive
Present participle,V;V.PTCP;PRS,--
Past,V;PST;ACT,V;PST;PASS
Future,V;FUT;ACT,V;FUT;PASS
Conditional,V;COND;ACT,V;COND;PASS
