0,1,2,3,4,5,6,7
Dari,شستن,,,,,,
Iranian Persian,شستن,,,,,,
Tajik,шустан ‎(šustan),,,,,,
Note: Hover mouse over Arabic for Latin-alphabet transliterations.,,,,,,,
Infinitive,شستن,,,,,,
Past Stem,شست,,,,,,
Present Stem,شوی,,,,,,
Past Participle,شسته,,,,,,
Present Participle,شوینده,,,,,,
,,,,,,,
,Singular,Plural,,,,,
,1st Person,2nd Person,3rd Person,1st Person,2nd Person,3rd Person,
,,من,تو,او / وی / آن,ما,شما,ایشان / آنان / آنها
Indicative Mood,Past,شستم,شستی,شست,شستیم,شستید,شستند
Durative Past,می‌شستم,می‌شستی,می‌شست,می‌شستیم,می‌شستید,می‌شستند,
Perfect,شسته‌ام,شسته‌اﯼ,شسته‌است,شسته‌ایم,شسته‌اید,شسته‌اند,
Durative Perfect,می‌شسته‌ام,می‌شسته‌اﯼ,می‌شسته‌است,می‌شسته‌ایم,می‌شسته‌اید,می‌شسته‌اند,
Pluperfect,شسته بودم,شسته بودی,شسته بود,شسته بودیم,شسته بودید,شسته بودند,
Durative Pluperfect,می‌شسته بودم,می‌شسته بودی,می‌شسته بود,می‌شسته بودیم,می‌شسته بودید,می‌شسته بودند,
Future,خواهم شست,خواهی شست,خواهد شست,خواهیم شست,خواهید شست,خواهند شست,
Aorist,شویم,شویی,شوید,شوییم,شویید,شویند,
Present,می‌شویم,می‌شویی,می‌شوید,می‌شوییم,می‌شویید,می‌شویند,
Present Progressive,دارم می‌شویم,داری می‌شویی,دارد می‌شوید,داریم می‌شوییم,دارید می‌شویید,دارند می‌شویند,
Preterite Progressive,داشتم می‌شستم,داشتی می‌شستی,داشت می‌شست,داشتیم می‌شستیم,داشتید می‌شستید,داشتند می‌شستند,
,,,,,,,
Subjunctive Mood,Present,بشویم,بشویی,بشوید,بشوییم,بشویید,بشویند
Past,شسته باشم,شسته باشی,شسته باشد,شسته باشیم,شسته باشید,شسته باشند,
Durative Past,می‌شسته باشم,می‌شسته باشی,می‌شسته باشد,می‌شسته باشیم,می‌شسته باشید,می‌شسته باشند,
Pluperfect,شسته بوﺩه باشم,شسته بوﺩه باشی,شسته بوﺩه باشد,شسته بوﺩه باشیم,شسته بوﺩه باشید,شسته بوﺩه باشند,
Durative Pluperfect,می‌شسته بوﺩه باشم,می‌شسته بوﺩه باشی,می‌شسته بوﺩه باشد,می‌شسته بوﺩه باشیم,می‌شسته بوﺩه باشید,می‌شسته بوﺩه باشند,
,,,,,,,
Imperative Mood,Affirmative,,بشوی,,بشوییم,بشویید,
Negative,,نشوی,,نشوییم,نشویید,,
,,,,,,,
Optative Mood,,,,شویاد,,,
Note: Hover mouse over Arabic for Latin-alphabet transliterations.,,,,,,,
Infinitive,شستن,,,,,,
Past Stem,شست,,,,,,
Present Stem,شور,,,,,,
Past Participle,شسته,,,,,,
Present Participle,شورنده,,,,,,
,,,,,,,
,Singular,Plural,,,,,
,1st Person,2nd Person,3rd Person,1st Person,2nd Person,3rd Person,
,,من,تو,او / وی / آن,ما,شما,ایشان / آنان / آنها
Indicative Mood,Past,شستم,شستی,شست,شستیم,شستید,شستند
Durative Past,می‌شستم,می‌شستی,می‌شست,می‌شستیم,می‌شستید,می‌شستند,
Perfect,شسته‌ام,شسته‌اﯼ,شسته‌است,شسته‌ایم,شسته‌اید,شسته‌اند,
Durative Perfect,می‌شسته‌ام,می‌شسته‌اﯼ,می‌شسته‌است,می‌شسته‌ایم,می‌شسته‌اید,می‌شسته‌اند,
Pluperfect,شسته بودم,شسته بودی,شسته بود,شسته بودیم,شسته بودید,شسته بودند,
Durative Pluperfect,می‌شسته بودم,می‌شسته بودی,می‌شسته بود,می‌شسته بودیم,می‌شسته بودید,می‌شسته بودند,
Future,خواهم شست,خواهی شست,خواهد شست,خواهیم شست,خواهید شست,خواهند شست,
Aorist,شورم,شوری,شورد,شوریم,شورید,شورند,
Present,می‌شورم,می‌شوری,می‌شورد,می‌شوریم,می‌شورید,می‌شورند,
Present Progressive,دارم می‌شورم,داری می‌شوری,دارد می‌شورد,داریم می‌شوریم,دارید می‌شورید,دارند می‌شورند,
Preterite Progressive,داشتم می‌شستم,داشتی می‌شستی,داشت می‌شست,داشتیم می‌شستیم,داشتید می‌شستید,داشتند می‌شستند,
,,,,,,,
Subjunctive Mood,Present,بشورم,بشوری,بشورد,بشوریم,بشورید,بشورند
Past,شسته باشم,شسته باشی,شسته باشد,شسته باشیم,شسته باشید,شسته باشند,
Durative Past,می‌شسته باشم,می‌شسته باشی,می‌شسته باشد,می‌شسته باشیم,می‌شسته باشید,می‌شسته باشند,
Pluperfect,شسته بوﺩه باشم,شسته بوﺩه باشی,شسته بوﺩه باشد,شسته بوﺩه باشیم,شسته بوﺩه باشید,شسته بوﺩه باشند,
Durative Pluperfect,می‌شسته بوﺩه باشم,می‌شسته بوﺩه باشی,می‌شسته بوﺩه باشد,می‌شسته بوﺩه باشیم,می‌شسته بوﺩه باشید,می‌شسته بوﺩه باشند,
,,,,,,,
Imperative Mood,Affirmative,,بشور,,بشوریم,بشورید,
Negative,,نشور,,نشوریم,نشورید,,
,,,,,,,
Optative Mood,,,,شوراد,,,
