0,1,2,3,4,5,6,7,8,9
V;2:PL;PST;LGSPEC1,شما,V;2;SG;PST;LGSPEC1,تو,V;2;PL;PFV;LGSPEC1,شما,V;2;SG;PFV;LGSPEC1,تو,,
V;3;PL;PST;LGSPEC1,اونها,V;3;SG;PST;LGSPEC1,اون,V;3;PL;PFV;LGSPEC1,اونها,V;3;SG;PFV;LGSPEC1,اون,,
,,,,,,,,,
V;1;PL;PST;IPFV;LGSPEC1,ما,V;1;SG;PST;IPFV;LGSPEC1,من,past (imperfect),V;1;PL;PRS;IPFV;LGSPEC1,ما,V;1;SG;PRS;IPFV;LGSPEC1,من,present (imperfect)
V;2:PL;PST;IPFV;LGSPEC1,شما,V;2;SG;PST;IPFV;LGSPEC1,تو,V;2;PL;PRS;IPFV;LGSPEC1,شما,V;2;SG;PRS;IPFV;LGSPEC1,تو,,
V;3;PL;PST;IPFV;LGSPEC1,اونها,V;3;SG;PST;IPFV;LGSPEC1,اون,V;3;PL;PRS;IPFV;LGSPEC1,اونها,V;3;SG;PRS;IPFV;LGSPEC1,اون,,
,,,,,,,,,
V;1;PL;PST;PROG;LGSPEC1,ما,V;1;SG;PST;PROG;LGSPEC1,من,past progressive,V;1;PL;PRS;PROG;LGSPEC1,ما,V;1;SG;PRS;PROG;LGSPEC1,من,present progressive
V;2:PL;PST;PROG;LGSPEC1,شما,V;2;SG;PST;PROG;LGSPEC1,تو,V;2;PL;PRS;PROG;LGSPEC1,شما,V;2;SG;PRS;PROG;LGSPEC1,تو,,
V;3;PL;PST;PROG;LGSPEC1,اونها,V;3;SG;PST;PROG;LGSPEC1,اون,V;3;PL;PRS;PROG;LGSPEC1,اونها,V;3;SG;PRS;PROG;LGSPEC1,اون,,
,,,,,,,,,
V;1;PL;PRS;PRF:LGSPEC1,ما,V;1;SG;PRS;PRF:LGSPEC1,من,present perfect,V;1;PL;PST;PRF:LGSPEC1,ما,V;1;SG;PST;PRF:LGSPEC1,من,pluperfect
V;2:PL;PRS;PRF:LGSPEC1,شما,V;2;SG;PRS;PRF:LGSPEC1,تو,V;2;PL;PST;PRF:LGSPEC1,شما,V;2;SG;PST;PRF:LGSPEC1,تو,,
V;3;PL;PRS;PRF:LGSPEC1,اونها,V;3;SG;PRS;PRF:LGSPEC1,اون,V;3;PL;PST;PRF:LGSPEC1,اونها,V;3;SG;PST;PRF:LGSPEC1,اون,,
subjunctive,,,,,,,,,
V;1;PL;SBJV;PST;LGSPEC1,ما,V;1;SG;SBJV;PST;LGSPEC1,من,past,V;1;PL;SBJV;PRS;LGSPEC1,ما,V;1;SG;SBJV;PRS;LGSPEC1,من,present
V;2;PL;SBJV;PST;LGSPEC1,شما,V;2;SG;SBJV;PST;LGSPEC1,تو,V;2;PL;SBJV;PRS;LGSPEC1,شما,V;2;SG;SBJV;PRS;LGSPEC1,تو,,
V;3;PL;SBJV;PST;LGSPEC1,اونها,V;3;SG;SBJV;PST;LGSPEC1,اون,V;3;PL;SBJV;PRS;LGSPEC1,اونها,V;3;SG;SBJV;PRS;LGSPEC1,اون,,
,,,,,,,,,
,V;2;PL;IMP;LGSPEC1,شما,V;2;SG;IMP;LGSPEC1,تو,imperative,,,,
