0,1,2,3,4,5,6,7,8
Singular,singular triptote in ـَة ‎(-a),,,,,,,
Indefinite,Definite,Construct,,,,,,
Informal,مَنَارَةmanāra,الْمَنَارَةal-manāra,مَنَارَةmanārat,,,,,
Nominative,مَنَارَةٌmanāratun,الْمَنَارَةُal-manāratu,مَنَارَةُmanāratu,,,,,
Accusative,مَنَارَةًmanāratan,الْمَنَارَةَal-manārata,مَنَارَةَmanārata,,,,,
Genitive,مَنَارَةٍmanāratin,الْمَنَارَةِal-manārati,مَنَارَةِmanārati,,,,,
Dual,Indefinite,Definite,Construct,,,,,
Informal,مَنَارَتَيْنmanāratayn,الْمَنَارَتَيْنal-manāratayn,مَنَارَتَيْmanāratay,,,,,
Nominative,مَنَارَتَانِmanāratāni,الْمَنَارَتَانِal-manāratāni,مَنَارَتَاmanāratā,,,,,
Accusative,مَنَارَتَيْنِmanāratayni,الْمَنَارَتَيْنِal-manāratayni,مَنَارَتَيْmanāratay,,,,,
Genitive,مَنَارَتَيْنِmanāratayni,الْمَنَارَتَيْنِal-manāratayni,مَنَارَتَيْmanāratay,,,,,
Plural,basic broken plural diptote,,,,,,,
Indefinite,Definite,Construct,,,,,,
Informal,مَنَاوِر‎; مَنَائِرmanāwir‎; manāʾir,الْمَنَاوِر‎; الْمَنَائِرal-manāwir‎; al-manāʾir,مَنَاوِر‎; مَنَائِرmanāwir‎; manāʾir,,,,,
Nominative,مَنَاوِرُ‎; مَنَائِرُmanāwiru‎; manāʾiru,الْمَنَاوِرُ‎; الْمَنَائِرُal-manāwiru‎; al-manāʾiru,مَنَاوِرُ‎; مَنَائِرُmanāwiru‎; manāʾiru,,,,,
Accusative,مَنَاوِرَ‎; مَنَائِرَmanāwira‎; manāʾira,الْمَنَاوِرَ‎; الْمَنَائِرَal-manāwira‎; al-manāʾira,مَنَاوِرَ‎; مَنَائِرَmanāwira‎; manāʾira,,,,,
Genitive,مَنَاوِرَ‎; مَنَائِرَmanāwira‎; manāʾira,الْمَنَاوِرِ‎; الْمَنَائِرِal-manāwiri‎; al-manāʾiri,مَنَاوِرِ‎; مَنَائِرِmanāwiri‎; manāʾiri,,,,,
Albanian: minare  Azeri: minarə  Bashkir: манара ‎(manara)  Belarusian: мінарэ́т ‎(minarét)  Bulgarian: минаре ‎(minare),,Dutch: minaret  English: minaret  French: minaret  Hungarian: minaret  Kazakh: мұнара ‎(munara),,Kyrgyz: мунара ‎(munara)  Persian: مناره ‎(menâre)  Polish: minaret  Russian: минаре́т ‎(minarét)  Spanish: minarete or alminar,,Swahili: mnara  Tajik: манора ‎(manora)  Tatar: манара ‎(manara)  Turkish: minare  Turkmen: minara,,Ukrainian: мінаре́т ‎(minarét)  Urdu: مینار ‎(mīnār)  Uyghur: مىنارەت ‎(minaret)  Uzbek: minora
