0,1
,singular (uncountable)
nominative,N;NOM;SG;LGSPEC3
genitive,N;GEN;SG;LGSPEC3
dative,N;DAT;SG;LGSPEC3
accusative,N;ACC;SG;LGSPEC3
ablative,N;ABL;SG;LGSPEC3
instrumental,N;INS;SG;LGSPEC3
locative,N;ESS;SG;LGSPEC3
,singular (uncountable)
nominative,N;NOM;SG;LGSPEC2
genitive,N;GEN;SG;LGSPEC2
dative,N;DAT;SG;LGSPEC2
accusative,N;ACC;SG;LGSPEC2
ablative,N;ABL;SG;LGSPEC2
instrumental,N;INS;SG;LGSPEC2
locative,N;ESS;SG;LGSPEC2
post-classical,
,singular (uncountable)
nominative,N;NOM;SG;LGSPEC1
genitive,N;GEN;SG;LGSPEC1
dative,N;DAT;SG;LGSPEC1
accusative,N;ACC;SG;LGSPEC1
ablative,N;ABL;SG;LGSPEC1
instrumental,N;INS;SG;LGSPEC1
locative,N;ESS;SG;LGSPEC1
