0,1,2,3,4,5,6
infinitive,ièsi,,,,,
past participle,"stà (m. sg.), stadi (m. pl.), stàda (f. sg.), stade (f. pl.)",,,,,
gerund,sendo/esiàndo,,,,,
number,singular,plural,,,,
person,1st,2nd,3rd,1st,2nd,3rd
indicative present,son,son,zì,sèmo/signemo,sì/signì/signide,zì
imperfect indicative,gìro,gìri,gìra,giariemi/giarèndi,giarìvi,gìra
subjunctive present,seîo,seîî,seîo,sièmo,seîî,seîo
imperfect subjunctive,fùsi,fùsi,fùso,fùsimo,fùsi,fùso
conditional,saravi,saravi,saravo,sarièmo,sarìssi,saravo
future,sariè,sariè,saruò,sarèmo,sarì/sarìde,saruò
imperative,-,seîi,seîo,-,seiî,seîo
