0,1,2
Tense/Mood,Form,Wylie
Present,སྦྱོར,sbyor
Future,སྦྱར,sbyar
Past,སྦྱར,sbyar
Imperative,སྦྱོར,sbyor
Tense/Mood,Form,Wylie
Present,སྦྱོར,sbyor
Future,སྦྱར,sbyar
Past,སྦྱརད,sbyard
Imperative,སྦྱོརད,sbyord
