0,1,2,3,4,5,6,7
infinitive,V;NFIN,,,,,,
gerund,V.CVB;PRS,,,,,,
past participle,,masculine,feminine,,,,
singular,V.PTCP;PST;MASC;SG,V.PTCP;PST;FEM;SG,,,,,
plural,V.PTCP;PST;MASC;PL,V.PTCP;PST;FEM;PL,,,,,
,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,
imperfect,V;IND;PST;1;SG;IPFV,V;IND;PST;2;SG;IPFV,V;IND;PST;3;SG;IPFV,V;IND;PST;1;PL;IPFV,V;IND;PST;2;PL;IPFV,V;IND;PST;3;PL;IPFV,
preterite,V;IND;PST;1;SG;PFV,V;IND;PST;2;SG;PFV,V;IND;PST;3;SG;PFV,V;IND;PST;1;PL;PFV,V;IND;PST;2;PL;PFV,V;IND;PST;3;PL;PFV,
future,V;IND;FUT;1;SG,V;IND;FUT;2;SG,V;IND;FUT;3;SG,V;IND;FUT;1;PL,V;IND;FUT;2;PL,V;IND;FUT;3;PL,
conditional,V;COND;1;SG,V;COND;2;SG,V;COND;3;SG,V;COND;1;PL,V;COND;2;PL,V;COND;3;PL,
,,,,,,,
subjunctive,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL,
imperfect(ra),V;SBJV;PST;1;SG;LGSPEC1,V;SBJV;PST;2;SG;LGSPEC1,V;SBJV;PST;3;SG;LGSPEC1,V;SBJV;PST;1;PL;LGSPEC1,V;SBJV;PST;2;PL;LGSPEC1,V;SBJV;PST;3;PL;LGSPEC1,
imperfect(se),V;SBJV;PST;1;SG,V;SBJV;PST;2;SG,V;SBJV;PST;3;SG,V;SBJV;PST;1;PL,V;SBJV;PST;2;PL,V;SBJV;PST;3;PL,
future,V;SBJV;FUT;1;SG,V;SBJV;FUT;2;SG,V;SBJV;FUT;3;SG,V;SBJV;FUT;1;PL,V;SBJV;FUT;2;PL,V;SBJV;FJT;3;PL,
,,,,,,,
imperative,,—,túvos,usted,nosotrosnosotras,vosotrosvosotras,ustedes
affirmative,,V;POS;IMP;2;SG,V;POS;IMP;3;SG,V;POS;IMP;1;PL,V;POS;IMP;2;PL,V;POS;IMP;3;PL,
negative,,V;NEG;IMP;2;SG,V;NEG;IMP;3;SG,V;NEG;IMP;1;PL,V;NEG;IMP;2;PL,V;NEG;IMP;3;PL,
