0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
"Bare forms Case Singular Plural  Nominative  scuab  scuaba  Vocative  a scuab  a scuaba  Genitive  scuaibe  scuab  Dative  scuabscuaib (archaic, dialectal)  scuaba",Case,Singular,Plural,Nominative,scuab,scuaba,Vocative,a scuab,a scuaba,Genitive,scuaibe,scuab,Dative,"scuabscuaib (archaic, dialectal)",scuaba,"Forms with the definite article Case Singular Plural  Nominative  an scuab  na scuaba  Genitive  na scuaibe  na scuab  Dative  leis an scuableis an scuaib (archaic, dialectal) don scuabdon scuaib (archaic, dialectal)  leis na scuaba",Case,Singular,Plural,Nominative,an scuab,na scuaba,Genitive,na scuaibe,na scuab,Dative,"leis an scuableis an scuaib (archaic, dialectal) don scuabdon scuaib (archaic, dialectal)",leis na scuaba
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,scuab,scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a scuab,a scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,scuaibe,scuab,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"scuabscuaib (archaic, dialectal)",scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an scuab,na scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na scuaibe,na scuab,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"leis an scuableis an scuaib (archaic, dialectal) don scuabdon scuaib (archaic, dialectal)",leis na scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,scuab,scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a scuab,a scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,scuaibe,scuab,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"scuabscuaib (archaic, dialectal)",scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an scuab,na scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na scuaibe,na scuab,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"leis an scuableis an scuaib (archaic, dialectal) don scuabdon scuaib (archaic, dialectal)",leis na scuaba,,,,,,,,,,,,,,,,,,,,,,,,,,
scuab bhearrtha ‎(“shaving brush”)  scuab eich ‎(“horsetail”)  scuab fiacla ‎(“toothbrush”),,scuab ghruaige ‎(“hairbrush”)  scuab ingne ‎(“nailbrush”)  scuab líní ‎(“lint brush”),,scuab phéinte ‎(“paintbrush”)  sreangscuab ‎(“wire brush”),,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,relative,autonomous,,,,,,,,,,,,,,,,,,,,,,,,
first,second,third,first,second,third,,,,,,,,,,,,,,,,,,,,,,,
indicative,present,scuabaim,scuabann tú; scuabair†,"scuabann sé, sí",scuabaimid,scuabann sibh,scuabann siad; scuabaid†,a scuabann; a scuabas /a scuabann*; a scuabas*,scuabtar,,,,,,,,,,,,,,,,,,,
past,scuab mé; scuabas,scuab tú; scuabais,"scuab sé, sí",scuabamar; scuab muid,scuab sibh; scuababhair,scuab siad; scuabadar,a scuab /ar scuab*,scuabadh,,,,,,,,,,,,,,,,,,,,
past habitual,scuabainn,scuabtá,"scuabadh sé, sí",scuabaimis; scuabadh muid,scuabadh sibh,scuabaidís; scuabadh siad,a scuabadh /ar scuabadh*,scuabtaí,,,,,,,,,,,,,,,,,,,,
future,scuabfaidh mé; scuabfad,scuabfaidh tú; scuabfair†,"scuabfaidh sé, sí",scuabfaimid; scuabfaidh muid,scuabfaidh sibh,scuabfaidh siad; scuabfaid†,a scuabfaidh; a scuabfas /a scuabfaidh*; a scuabfas*,scuabfar,,,,,,,,,,,,,,,,,,,,
conditional,scuabfainn,scuabfá,"scuabfadh sé, sí",scuabfaimis; scuabfadh muid,scuabfadh sibh,scuabfaidís; scuabfadh siad,a scuabfadh /ar scuabfadh*,scuabfaí,,,,,,,,,,,,,,,,,,,,
subjunctive,present,go scuaba mé; go scuabad†,go scuaba tú; go scuabair†,"go scuaba sé, sí",go scuabaimid; go scuaba muid,go scuaba sibh,go scuaba siad; go scuabaid†,—,go scuabtar,,,,,,,,,,,,,,,,,,,
past,dá scuabainn,dá scuabtá,"dá scuabadh sé, sí",dá scuabaimis; dá scuabadh muid,dá scuabadh sibh,dá scuabaidís; dá scuabadh siad,—,dá scuabtaí,,,,,,,,,,,,,,,,,,,,
imperative,scuabaim,scuab,"scuabadh sé, sí",scuabaimis,scuabaigí; scuabaidh†,scuabaidís,—,scuabtar,,,,,,,,,,,,,,,,,,,,
verbal noun,scuabadh,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,scuabtha,,,,,,,,,,,,,,,,,,,,,,,,,,,
