0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,singular,plural,relative,autonomous,,,,,,,,,,,,,,,,,,,,,,,,
first,second,third,first,second,third,,,,,,,,,,,,,,,,,,,,,,,
indicative,present,fásaim,fásann tú; fásair†,"fásann sé, sí",fásaimid,fásann sibh,fásann siad; fásaid†,a fhásann; a fhásas /a bhfásann*; a bhfásas*,fástar,,,,,,,,,,,,,,,,,,,
past,d'fhás mé; d'fhásas /fhás mé‡; fhásas‡,d'fhás tú; d'fhásais /fhás tú; fhásais‡,"d'fhás sé, sí /fhás sé, sí‡",d'fhásamar; d'fhás muid /fhásamar; fhás muid‡,d'fhás sibh; d'fhásabhair /fhás sibh; fhásabhair‡,d'fhás siad; d'fhásadar /fhás siad; fhásadar‡,a d'fhás /ar fhás*,fásadh,,,,,,,,,,,,,,,,,,,,
past habitual,d'fhásainn /fhásainn‡,d'fhástá /fhástá‡,"d'fhásadh sé, sí /fhásadh sé, sí‡",d'fhásaimis; d'fhásadh muid /fhásaimis; fhásadh muid‡,d'fhásadh sibh /fhásadh sibh‡,d'fhásaidís; d'fhásadh siad /fhásaidís; fhásadh siad‡,a d'fhásadh /ar fhásadh*,d'fhástaí /fhástaí‡,,,,,,,,,,,,,,,,,,,,
future,fásfaidh mé; fásfad,fásfaidh tú; fásfair†,"fásfaidh sé, sí",fásfaimid; fásfaidh muid,fásfaidh sibh,fásfaidh siad; fásfaid†,a fhásfaidh; a fhásfas /a bhfásfaidh*; a bhfásfas*,fásfar,,,,,,,,,,,,,,,,,,,,
conditional,d'fhásfainn /fhásfainn‡,d'fhásfá /fhásfá‡,"d'fhásfadh sé, sí /fhásfadh sé, sí‡",d'fhásfaimis; d'fhásfadh muid /fhásfaimis; fhásfadh muid‡,d'fhásfadh sibh /fhásfadh sibh‡,d'fhásfaidís; d'fhásfadh siad /fhásfaidís; fhásfadh siad‡,a d'fhásfadh /ar fhásfadh*,d'fhásfaí /fhásfaí‡,,,,,,,,,,,,,,,,,,,,
subjunctive,present,go bhfása mé; go bhfásad†,go bhfása tú; go bhfásair†,"go bhfása sé, sí",go bhfásaimid; go bhfása muid,go bhfása sibh,go bhfása siad; go bhfásaid†,—,go bhfástar,,,,,,,,,,,,,,,,,,,
past,dá bhfásainn,dá bhfástá,"dá bhfásadh sé, sí",dá bhfásaimis; dá bhfásadh muid,dá bhfásadh sibh,dá bhfásaidís; dá bhfásadh siad,—,dá bhfástaí,,,,,,,,,,,,,,,,,,,,
imperative,fásaim,fás,"fásadh sé, sí",fásaimis,fásaigí; fásaidh†,fásaidís,—,fástar,,,,,,,,,,,,,,,,,,,,
verbal noun,fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
past participle,fásta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  fás  Vocative  a fhás  Genitive  fásta  Dative  fás,Case,Singular,Nominative,fás,Vocative,a fhás,Genitive,fásta,Dative,fás,Forms with the definite article Case Singular  Nominative  an fás  Genitive  an fhásta  Dative  leis an bhfás don fhás,Case,Singular,Nominative,an fás,Genitive,an fhásta,Dative,leis an bhfás don fhás,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fásta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhásta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfás don fhás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fhás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fásta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fhásta,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfás don fhás,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  fás  fáis  Vocative  a fháis  a fhása  Genitive  fáis  fás  Dative  fás  fáis,Case,Singular,Plural,Nominative,fás,fáis,Vocative,a fháis,a fhása,Genitive,fáis,fás,Dative,fás,fáis,Forms with the definite article: Case Singular Plural  Nominative  an fás  na fáis  Genitive  an fháis  na bhfás  Dative  leis an bhfás don fhás  leis na fáis,Case,Singular,Plural,Nominative,an fás,na fáis,Genitive,an fháis,na bhfás,Dative,leis an bhfás don fhás,leis na fáis
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fás,fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fháis,a fhása,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fáis,fás,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fás,fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fás,na fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fháis,na bhfás,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfás don fhás,leis na fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,fás,fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a fháis,a fhása,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,fáis,fás,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,fás,fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an fás,na fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an fháis,na bhfás,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an bhfás don fhás,leis na fáis,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
fás,fhás,bhfás,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
