0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms: Case Singular Plural  Nominative  Luan  Luanta  Vocative  a Luain  a Luanta  Genitive  Luain  Luanta  Dative  Luan  Luanta,Case,Singular,Plural,Nominative,Luan,Luanta,Vocative,a Luain,a Luanta,Genitive,Luain,Luanta,Dative,Luan,Luanta,Forms with the definite article: Case Singular Plural  Nominative  an Luan  na Luanta  Genitive  an Luain  na Luanta  Dative  leis an Luan don Luan  leis na Luanta,Case,Singular,Plural,Nominative,an Luan,na Luanta,Genitive,an Luain,na Luanta,Dative,leis an Luan don Luan,leis na Luanta
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Luan,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Luain,a Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Luain,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Luan,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Luan,na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Luain,na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Luan don Luan,leis na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,Luan,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a Luain,a Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,Luain,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,Luan,Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an Luan,na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an Luain,na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an Luan don Luan,leis na Luanta,,,,,,,,,,,,,,,,,,,,,,,,,,
