0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  lingeadh  lingthí  Vocative  a lingeadh  a lingthí  Genitive  lingthe  l{{{5}}}  Dative  lingeadh  lingthí,Case,Singular,Plural,Nominative,lingeadh,lingthí,Vocative,a lingeadh,a lingthí,Genitive,lingthe,l{{{5}}},Dative,lingeadh,lingthí,Forms with the definite article Case Singular Plural  Nominative  an lingeadh  na lingthí  Genitive  an lingthe  na l{{{5}}}  Dative  leis an lingeadh don lingeadh  leis na lingthí,Case,Singular,Plural,Nominative,an lingeadh,na lingthí,Genitive,an lingthe,na l{{{5}}},Dative,leis an lingeadh don lingeadh,leis na lingthí
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,lingeadh,lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a lingeadh,a lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,lingthe,l{{{5}}},,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,lingeadh,lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an lingeadh,na lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an lingthe,na l{{{5}}},,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an lingeadh don lingeadh,leis na lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,lingeadh,lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a lingeadh,a lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,lingthe,l{{{5}}},,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,lingeadh,lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an lingeadh,na lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an lingthe,na l{{{5}}},,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an lingeadh don lingeadh,leis na lingthí,,,,,,,,,,,,,,,,,,,,,,,,,,
