0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural form of this noun) Case Singular  Nominative  lasrach  Vocative  a lasrach  Genitive  lasraí  Dative  lasrach,Case,Singular,Nominative,lasrach,Vocative,a lasrach,Genitive,lasraí,Dative,lasrach,Forms with the definite article Case Singular  Nominative  an lasrach  Genitive  na lasraí  Dative  leis an lasrach don lasrach,Case,Singular,Nominative,an lasrach,Genitive,na lasraí,Dative,leis an lasrach don lasrach
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,lasrach,,,,,,,,,,,,,,,,,,
Vocative,a lasrach,,,,,,,,,,,,,,,,,,
Genitive,lasraí,,,,,,,,,,,,,,,,,,
Dative,lasrach,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an lasrach,,,,,,,,,,,,,,,,,,
Genitive,na lasraí,,,,,,,,,,,,,,,,,,
Dative,leis an lasrach don lasrach,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,lasrach,,,,,,,,,,,,,,,,,,
Vocative,a lasrach,,,,,,,,,,,,,,,,,,
Genitive,lasraí,,,,,,,,,,,,,,,,,,
Dative,lasrach,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an lasrach,,,,,,,,,,,,,,,,,,
Genitive,na lasraí,,,,,,,,,,,,,,,,,,
Dative,leis an lasrach don lasrach,,,,,,,,,,,,,,,,,,
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,
Nominative,lasrach,lasrach,lasracha,,,,,,,,,,,,,,,,
Vocative,lasraigh,lasracha,,,,,,,,,,,,,,,,,
Genitive,lasraí,lasracha,lasrach,,,,,,,,,,,,,,,,
Dative,lasrach,lasrach;lasraigh (archaic),lasracha,,,,,,,,,,,,,,,,
Comparative,níos lasraí,,,,,,,,,,,,,,,,,,
Superlative,is lasraí,,,,,,,,,,,,,,,,,,
