0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beo,bheo,beo;bheo²,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,bheo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,beo,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beo;bheo¹,bheo,beo;bheo²,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative,níos beo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlative,is beo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare forms Case Singular Plural  Nominative  beo  beo  Vocative  a bheo  a bheo  Genitive  beo  beo  Dative  beo  beo,Case,Singular,Plural,Nominative,beo,beo,Vocative,a bheo,a bheo,Genitive,beo,beo,Dative,beo,beo,Forms with the definite article Case Singular Plural  Nominative  an beo  na beo  Genitive  an bheo  na mbeo  Dative  leis an mbeo don bheo  leis na beo,Case,Singular,Plural,Nominative,an beo,na beo,Genitive,an bheo,na mbeo,Dative,leis an mbeo don bheo,leis na beo
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a bheo,a bheo,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an beo,na beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an bheo,na mbeo,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an mbeo don bheo,leis na beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a bheo,a bheo,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beo,beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an beo,na beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an bheo,na mbeo,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an mbeo don bheo,leis na beo,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
beo,bheo,mbeo,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
