0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  fí  Vocative  a fhí  Genitive  fite  Dative  fí,Case,Singular,Nominative,fí,Vocative,a fhí,Genitive,fite,Dative,fí,Forms with the definite article Case Singular  Nominative  an fhí  Genitive  na fite  Dative  leis an bhfí don fhí,Case,Singular,Nominative,an fhí,Genitive,na fite,Dative,leis an bhfí don fhí
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fí,,,,,,,,,,,,,,,,,,
Vocative,a fhí,,,,,,,,,,,,,,,,,,
Genitive,fite,,,,,,,,,,,,,,,,,,
Dative,fí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhí,,,,,,,,,,,,,,,,,,
Genitive,na fite,,,,,,,,,,,,,,,,,,
Dative,leis an bhfí don fhí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fí,,,,,,,,,,,,,,,,,,
Vocative,a fhí,,,,,,,,,,,,,,,,,,
Genitive,fite,,,,,,,,,,,,,,,,,,
Dative,fí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhí,,,,,,,,,,,,,,,,,,
Genitive,na fite,,,,,,,,,,,,,,,,,,
Dative,leis an bhfí don fhí,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  fí  Vocative  a fhí  Genitive  fí  Dative  fí,Case,Singular,Nominative,fí,Vocative,a fhí,Genitive,fí,Dative,fí,Forms with the definite article Case Singular  Nominative  an fhí  Genitive  na fí  Dative  leis an bhfí don fhí,Case,Singular,Nominative,an fhí,Genitive,na fí,Dative,leis an bhfí don fhí
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fí,,,,,,,,,,,,,,,,,,
Vocative,a fhí,,,,,,,,,,,,,,,,,,
Genitive,fí,,,,,,,,,,,,,,,,,,
Dative,fí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhí,,,,,,,,,,,,,,,,,,
Genitive,na fí,,,,,,,,,,,,,,,,,,
Dative,leis an bhfí don fhí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,fí,,,,,,,,,,,,,,,,,,
Vocative,a fhí,,,,,,,,,,,,,,,,,,
Genitive,fí,,,,,,,,,,,,,,,,,,
Dative,fí,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an fhí,,,,,,,,,,,,,,,,,,
Genitive,na fí,,,,,,,,,,,,,,,,,,
Dative,leis an bhfí don fhí,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
fí,fhí,bhfí,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
