0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  caitheamh  Vocative  a chaithimh  Genitive  caithimh  Dative  caitheamh,Case,Singular,Nominative,caitheamh,Vocative,a chaithimh,Genitive,caithimh,Dative,caitheamh,Forms with the definite article: Case Singular  Nominative  an caitheamh  Genitive  an chaithimh  Dative  leis an gcaitheamh don chaitheamh,Case,Singular,Nominative,an caitheamh,Genitive,an chaithimh,Dative,leis an gcaitheamh don chaitheamh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,caitheamh,,,,,,,,,,,,,,,,,,
Vocative,a chaithimh,,,,,,,,,,,,,,,,,,
Genitive,caithimh,,,,,,,,,,,,,,,,,,
Dative,caitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an caitheamh,,,,,,,,,,,,,,,,,,
Genitive,an chaithimh,,,,,,,,,,,,,,,,,,
Dative,leis an gcaitheamh don chaitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,caitheamh,,,,,,,,,,,,,,,,,,
Vocative,a chaithimh,,,,,,,,,,,,,,,,,,
Genitive,caithimh,,,,,,,,,,,,,,,,,,
Dative,caitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an caitheamh,,,,,,,,,,,,,,,,,,
Genitive,an chaithimh,,,,,,,,,,,,,,,,,,
Dative,leis an gcaitheamh don chaitheamh,,,,,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  caitheamh  Vocative  a chaitheamh  Genitive  caite  Dative  caitheamh,Case,Singular,Nominative,caitheamh,Vocative,a chaitheamh,Genitive,caite,Dative,caitheamh,Forms with the definite article Case Singular  Nominative  an caitheamh  Genitive  an chaite  Dative  leis an gcaitheamh don chaitheamh,Case,Singular,Nominative,an caitheamh,Genitive,an chaite,Dative,leis an gcaitheamh don chaitheamh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,caitheamh,,,,,,,,,,,,,,,,,,
Vocative,a chaitheamh,,,,,,,,,,,,,,,,,,
Genitive,caite,,,,,,,,,,,,,,,,,,
Dative,caitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an caitheamh,,,,,,,,,,,,,,,,,,
Genitive,an chaite,,,,,,,,,,,,,,,,,,
Dative,leis an gcaitheamh don chaitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,caitheamh,,,,,,,,,,,,,,,,,,
Vocative,a chaitheamh,,,,,,,,,,,,,,,,,,
Genitive,caite,,,,,,,,,,,,,,,,,,
Dative,caitheamh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an caitheamh,,,,,,,,,,,,,,,,,,
Genitive,an chaite,,,,,,,,,,,,,,,,,,
Dative,leis an gcaitheamh don chaitheamh,,,,,,,,,,,,,,,,,,
"caitheamh amach ‎(“projection (of wall, cliff, etc.)”)  caitheamh anuas (i simléar) ‎(“downdraft (in a chimney)”)",,caitheamh in airde ‎(“toss-up; pitch and toss”),,caitheamh le fána ‎(“downward slope”),,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
caitheamh,chaitheamh,gcaitheamh,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
