0,1,2,3,4,5,6,7,8,9
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
indicative,present,riaraim,riarann tú; riarair†,"riarann sé, sí",riaraimid,riarann sibh,riarann siad; riaraid†,a riarann; a riaras /a riarann*; a riaras*,riartar
past,riar mé; riaras,riar tú; riarais,"riar sé, sí",riaramar; riar muid,riar sibh; riarabhair,riar siad; riaradar,a riar /ar riar*,riaradh,
past habitual,riarainn,riartá,"riaradh sé, sí",riaraimis; riaradh muid,riaradh sibh,riaraidís; riaradh siad,a riaradh /ar riaradh*,riartaí,
future,riarfaidh mé; riarfad,riarfaidh tú; riarfair†,"riarfaidh sé, sí",riarfaimid; riarfaidh muid,riarfaidh sibh,riarfaidh siad; riarfaid†,a riarfaidh; a riarfas /a riarfaidh*; a riarfas*,riarfar,
conditional,riarfainn,riarfá,"riarfadh sé, sí",riarfaimis; riarfadh muid,riarfadh sibh,riarfaidís; riarfadh siad,a riarfadh /ar riarfadh*,riarfaí,
subjunctive,present,go riara mé; go riarad†,go riara tú; go riarair†,"go riara sé, sí",go riaraimid; go riara muid,go riara sibh,go riara siad; go riaraid†,—,go riartar
past,dá riarainn,dá riartá,"dá riaradh sé, sí",dá riaraimis; dá riaradh muid,dá riaradh sibh,dá riaraidís; dá riaradh siad,—,dá riartaí,
imperative,riaraim,riar,"riaradh sé, sí",riaraimis,riaraigí; riaraidh†,riaraidís,—,riartar,
verbal noun,riar,,,,,,,,
past participle,riartha,,,,,,,,
