0,1,2,3,4,5,6,7,8,9
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
indicative,present,féadaim,féadann tú; féadair†,"féadann sé, sí",féadaimid,féadann sibh,féadann siad; féadaid†,a fhéadann; a fhéadas /a bhféadann*; a bhféadas*,féadtar
past,d'fhéad mé; d'fhéadas /fhéad mé‡; fhéadas‡,d'fhéad tú; d'fhéadais /fhéad tú; fhéadais‡,"d'fhéad sé, sí /fhéad sé, sí‡",d'fhéadamar; d'fhéad muid /fhéadamar; fhéad muid‡,d'fhéad sibh; d'fhéadabhair /fhéad sibh; fhéadabhair‡,d'fhéad siad; d'fhéadadar /fhéad siad; fhéadadar‡,a d'fhéad /ar fhéad*,féadadh,
past habitual,d'fhéadainn /fhéadainn‡,d'fhéadtá /fhéadtá‡,"d'fhéadadh sé, sí /fhéadadh sé, sí‡",d'fhéadaimis; d'fhéadadh muid /fhéadaimis; fhéadadh muid‡,d'fhéadadh sibh /fhéadadh sibh‡,d'fhéadaidís; d'fhéadadh siad /fhéadaidís; fhéadadh siad‡,a d'fhéadadh /ar fhéadadh*,d'fhéadtaí /fhéadtaí‡,
future,féadfaidh mé; féadfad,féadfaidh tú; féadfair†,"féadfaidh sé, sí",féadfaimid; féadfaidh muid,féadfaidh sibh,féadfaidh siad; féadfaid†,a fhéadfaidh; a fhéadfas /a bhféadfaidh*; a bhféadfas*,féadfar,
conditional,d'fhéadfainn /fhéadfainn‡,d'fhéadfá /fhéadfá‡,"d'fhéadfadh sé, sí /fhéadfadh sé, sí‡",d'fhéadfaimis; d'fhéadfadh muid /fhéadfaimis; fhéadfadh muid‡,d'fhéadfadh sibh /fhéadfadh sibh‡,d'fhéadfaidís; d'fhéadfadh siad /fhéadfaidís; fhéadfadh siad‡,a d'fhéadfadh /ar fhéadfadh*,d'fhéadfaí /fhéadfaí‡,
subjunctive,present,go bhféada mé; go bhféadad†,go bhféada tú; go bhféadair†,"go bhféada sé, sí",go bhféadaimid; go bhféada muid,go bhféada sibh,go bhféada siad; go bhféadaid†,—,go bhféadtar
past,dá bhféadainn,dá bhféadtá,"dá bhféadadh sé, sí",dá bhféadaimis; dá bhféadadh muid,dá bhféadadh sibh,dá bhféadaidís; dá bhféadadh siad,—,dá bhféadtaí,
imperative,féadaim,féad,"féadadh sé, sí",féadaimis,féadaigí; féadaidh†,féadaidís,—,féadtar,
verbal noun,féadachtáil,,,,,,,,
past participle,-,,,,,,,,
