0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Bare forms Case Singular Plural  Nominative  grafaic  grafaicí  Vocative  a ghrafaic  a ghrafaicí  Genitive  grafaice  grafaicí  Dative  grafaic  grafaicí,Case,Singular,Plural,Nominative,grafaic,grafaicí,Vocative,a ghrafaic,a ghrafaicí,Genitive,grafaice,grafaicí,Dative,grafaic,grafaicí,Forms with the definite article Case Singular Plural  Nominative  an ghrafaic  na grafaicí  Genitive  na grafaice  na ngrafaicí  Dative  leis an ngrafaic don ghrafaic  leis na grafaicí,Case,Singular,Plural,Nominative,an ghrafaic,na grafaicí,Genitive,na grafaice,na ngrafaicí,Dative,leis an ngrafaic don ghrafaic,leis na grafaicí
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,grafaic,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghrafaic,a ghrafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,grafaice,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,grafaic,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghrafaic,na grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na grafaice,na ngrafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngrafaic don ghrafaic,leis na grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,grafaic,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a ghrafaic,a ghrafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,grafaice,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,grafaic,grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an ghrafaic,na grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na grafaice,na ngrafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an ngrafaic don ghrafaic,leis na grafaicí,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
grafaic,ghrafaic,ngrafaic,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
