0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Bare forms (no plural of this noun) Case Singular  Nominative  altram  Vocative  a altram  Genitive  altrama  Dative  altram,Case,Singular,Nominative,altram,Vocative,a altram,Genitive,altrama,Dative,altram,Forms with the definite article: Case Singular  Nominative  an t-altram  Genitive  an altrama  Dative  leis an altram don altram,Case,Singular,Nominative,an t-altram,Genitive,an altrama,Dative,leis an altram don altram
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,altram,,,,,,,,,,,,,,,,,,
Vocative,a altram,,,,,,,,,,,,,,,,,,
Genitive,altrama,,,,,,,,,,,,,,,,,,
Dative,altram,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an t-altram,,,,,,,,,,,,,,,,,,
Genitive,an altrama,,,,,,,,,,,,,,,,,,
Dative,leis an altram don altram,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,altram,,,,,,,,,,,,,,,,,,
Vocative,a altram,,,,,,,,,,,,,,,,,,
Genitive,altrama,,,,,,,,,,,,,,,,,,
Dative,altram,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an t-altram,,,,,,,,,,,,,,,,,,
Genitive,an altrama,,,,,,,,,,,,,,,,,,
Dative,leis an altram don altram,,,,,,,,,,,,,,,,,,
"altramaigh ‎(“foster”, verb)  altramaí m ‎(“fosterer, foster-parent”)  altramas m, altramacht f ‎(“fosterage”)",,athair altrama m ‎(“foster-father”)  bean altrama f ‎(“wet nurse”)  craobh altrama f ‎(“stock”),,leanbh altrama m ‎(“foster-child”)  mac altrama m ‎(“foster-son”)  máthair altrama f ‎(“foster-mother”),,,,,,,,,,,,,,,
"altramú m ‎(“fosterage”)  buime f ‎(“foster-mother, nurse”)  comhalta m ‎(“foster-brother, foster-sister”)  dalta m ‎(“foster-child”)",,"daltán m ‎(“(little) foster-child; young pupil”)  máithrigh ‎(“mother, bear; foster”, verb)  oide m ‎(“foster-father”)",,"oil ‎(“nourish, rear, foster; train, educate”, verb)  oiliúint f ‎(“nurture, upbringing, fostering care”)  oiliúnach ‎(“nurturing, fostering”, adj)",,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Eclipsis,with h-prothesis,with t-prothesis,,,,,,,,,,,,,,,,
altram,n-altram,haltram,t-altram,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
